dialog_act,utterance,predicted_dialogact
inform,cheap italian,inform
,okay,ack
inform,im looking for an expensive restaurant,inform
inform,i am looking for an expensive restaurant,inform
inform,of this restaurant,hello
thankyou,thank you,thankyou
reqalts,how about indian food,reqalts
inform,indian food,inform
thankyou,thank you good bye,thankyou
,that serves,inform
request,and the post code,inform
inform,any,inform
inform,i need a cheap restaurant in the east part of town,inform
thankyou,okay thank you good bye,ack
,what do you recommend,request
inform,caribbean food,inform
thankyou,okay thank you good bye,ack
inform,korean food,inform
inform,the south part of town,inform
request,what is the phone number,request
affirm,yea,affirm
inform,im looking for a cheap restaurant in the south part of town,inform
thankyou,thank you,thankyou
inform,cheap restaurant,inform
request,ah whats the phone number,request
reqalts,how about portuguese food,reqalts
inform,any,inform
request,address please,inform
inform,is there a restaurant in the center of town serving,inform
inform,spanish,inform
thankyou,thank you good bye,thankyou
inform,cantonese food,inform
inform,north part of town,negate
inform,expensive,inform
reqalts,anything else,hello
request,phone number,inform
inform,spanish,inform
,and whats the other one,request
inform,i dont care but it needs to be in the west part of town,inform
request,whats the address,request
,sil,inform
inform,id like to find a moderately priced restaurant,inform
thankyou,thank you good bye,thankyou
request,what is the price range,request
request,what is the post code,request
request,address,inform
affirm,ye,inform
thankyou,um thank you goodbye,thankyou
inform,restaurant,inform
request,phone number,inform
thankyou,thank you,thankyou
inform,hungarian food in the center of town,inform
inform,turkish food,inform
inform,cheap,inform
inform,north,negate
affirm,yes,affirm
inform,west area,inform
bye,yawning thank you and good bye,thankyou
thankyou,thank you good bye,thankyou
request,and the phone number,inform
request,what is the address and phone number,request
inform,im looking for a moderately priced restaurant and it should serve,inform
affirm,yes,affirm
negate,no indian,negate
affirm,yeah,affirm
affirm,yes,affirm
request,may i have the address and post code,inform
thankyou,thank you good bye,thankyou
inform,chinese,hello
reqalts,is there anything else,hello
inform,i dont care,inform
thankyou,thank you good bye,thankyou
request,phone number,inform
inform,expensive,inform
thankyou,thank you good bye,thankyou
request,address,inform
request,post code,inform
request,what is the phone number,request
inform,looking for a cheap restaurant in the east part of town,inform
inform,thai food,inform
affirm,yes,affirm
request,whats the postcode,request
,id like to find,inform
inform,im looking for a moderately priced restaurant serving basque food,inform
reqalts,how about british food,reqalts
thankyou,thank you good bye,thankyou
inform,danish,inform
,sil,inform
thankyou,thank you good bye,thankyou
inform,id like a moderately priced restaurant in west of,inform
inform,dont care,inform
request,phone number,inform
reqalts,another,deny
inform,im looking for a restaurant in the south part of town,inform
inform,find me a restaurant serving italian food,inform
inform,the west part of town,inform
inform,i dont care,inform
reqalts,how about british type of food,reqalts
reqalts,how about british type of food,reqalts
reqalts,how about british type of food,reqalts
request,may i have the phone number,inform
reqalts,how about north american food,negate
request,and whats their phone number,request
inform,venesian,inform
inform,id like a cheap restaurant in the west part of town,inform
thankyou,thank you good bye,thankyou
inform,any type,inform
inform,basque food,inform
inform,basque food,inform
inform,any,inform
inform,dont care,inform
reqalts,is there a restaurant serving modern european food,inform
reqalts,is there a restaurant serving modern european food,inform
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
inform,i dont care,inform
reqalts,how about italian food,reqalts
inform,in the center,inform
request,postcode,inform
inform,scottish food,inform
thankyou,thank you good bye,thankyou
inform,french noise,negate
negate,no french food,negate
thankyou,thank you goodbye,thankyou
inform,british food,inform
thankyou,thank you good bye,thankyou
inform,expensive,inform
inform,serving lebanese food,inform
request,can i have the phone number,inform
request,whats the address,request
affirm,yes,affirm
inform,south,inform
inform,south,inform
request,may i have the address phone,inform
inform,italian food,inform
,noise,negate
inform,expensive romanian food,inform
inform,expensive korean food,inform
thankyou,thank you good bye,thankyou
inform,i dont care,inform
negate,no,negate
affirm,yes,affirm
inform,north,negate
inform,spanish,inform
affirm,yes,affirm
inform,a cheap restaurant,inform
inform,korean,inform
inform,im looking for an expensive restaurant that serves australian food,inform
reqalts,how about british type of food,reqalts
inform,i dont care,inform
inform,persian food,inform
request,what is the address and phone number,request
inform,i want a moderately priced cantonese restaurant,inform
inform,uh i dont care,inform
request,whats the phone number,request
thankyou,thank you good bye,thankyou
request,address,inform
inform,um west side,inform
inform,i dont care,inform
inform,uh center,inform
inform,british food,inform
inform,british food,inform
inform,any range,inform
request,price range,inform
inform,south part,inform
inform,south part,inform
inform,im looking in the south of the town,inform
reqalts,next,inform
reqalts,next,inform
inform,korean,inform
inform,i dont care,inform
request,phone number,inform
inform,im looking for a restaurant that serves tuscan food,inform
request,whats their phone number,request
inform,uh doesnt matter,inform
reqalts,anything else,hello
inform,the north part of town,negate
inform,any,inform
thankyou,thank you good bye,thankyou
inform,south,inform
request,what is the address and phone number,request
reqalts,how about european type of food,reqalts
affirm,yes,affirm
bye,good bye,bye
inform,im looking for cheap food in the north of town,inform
reqalts,is there anything else,hello
inform,spanish,inform
request,can i have the phone number,inform
inform,north,negate
inform,any part of town,inform
request,what is the address and post code,request
inform,im looking for a moderately priced restaurant in the south,inform
request,what type of food,request
bye,good bye,bye
thankyou,thank you goodbye,thankyou
request,address,inform
inform,im looking for an expensive restaurant in the east part of town,inform
request,whats the phone number,request
inform,im looking for a restaurant that serves italian,inform
affirm,yes,affirm
request,uh can i get the address,inform
request,and the phone number,inform
inform,in the south part of town,inform
request,whats the phone number,request
,unintelligible,inform
,unintelligible,inform
thankyou,thank you good bye,thankyou
inform,expensive restaurant that serves lebanese food,inform
inform,im looking for a restaurant serving pan asian foo,inform
request,what is the phone number and addre,request
inform,im looking for a cheap restaurant,inform
request,oh where is it,confirm
reqalts,is there anything else,hello
reqalts,is there anything else,hello
request,address,inform
affirm,uh yes can i get the address,affirm
inform,any,inform
reqalts,and what is the other restaurant,request
reqalts,is there another restaurant that serves portuguese food,deny
inform,can i have a different restaurant that serves portuguese food,inform
thankyou,thank you good bye,thankyou
affirm,right,inform
request,and the post code,inform
request,address,inform
negate,no thank you good bye,negate
inform,im looking for a restaurant in the west part of town that serves corsica food,inform
,noise,negate
inform,center part of town,inform
thankyou,thank you good bye,thankyou
inform,a moderately priced fusion food,inform
thankyou,thank you good bye,thankyou
inform,moderately priced in the west part of town,inform
inform,any,inform
reqalts,what about asian oriental,request
reqalts,how about asian oriental food,reqalts
request,what is the address and phone number,request
repeat,repeat that,inform
,whats the other one,request
inform,im looking for a moderately priced restaurant,inform
inform,i dont care,inform
inform,im looking for a restaurant in the east part of town that serves,inform
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
hello,hi im looking for a moderately priced restaurant,hello
request,address,inform
inform,i dont care,inform
request,may i have the address phone number and post code,inform
thankyou,thank you good bye,thankyou
affirm,uh yes can i find a cheap restaurant in the north part of town,affirm
inform,international food,inform
inform,the south,inform
request,address post code,inform
confirm,is there a portugeuse food,inform
request,whats the phone number,request
inform,south part of town,inform
request,whats the address,request
inform,im looking for a cheap restaurant that serves brazilian,inform
inform,moderately priced,inform
inform,north,negate
negate,no,negate
inform,any,inform
inform,any,inform
inform,mediterranean food,inform
request,whats the post code,request
inform,cheap cheap restaurant,inform
thankyou,thank you good bye,thankyou
inform,any,inform
request,phone number,inform
request,the address and phone number,inform
thankyou,thank you good bye,thankyou
inform,world food,inform
request,and the price range,inform
inform,center,inform
inform,indian,inform
request,what is the address,request
inform,im looking for an expensive restaurant in the east part of town,inform
request,a post code,inform
inform,it doesnt matter,inform
inform,portuguese,inform
thankyou,thank you good bye,thankyou
request,what is the phone number and post code,request
request,and the post code of the venue,inform
inform,i dont care,inform
inform,any area,inform
inform,mediterranean restaurant in any part of town,inform
request,can i get the phone number,inform
reqalts,how about asian oriental food,reqalts
thankyou,thank you good bye,thankyou
inform,im looking for a restaurant in the south part of town,inform
inform,any kind,inform
request,phone number,inform
negate,no caribbean,negate
inform,any part,inform
affirm,yes,affirm
inform,um a cheap restaurant in the west part of town,inform
affirm,yes,affirm
request,what is the address,request
inform,west part of town,inform
inform,malaysian,inform
affirm,yes,affirm
affirm,yes,affirm
,noise,negate
request,the price range,inform
negate,no not noise,deny
inform,any price range noise,inform
,noise,negate
request,noise can i get the address and phone number,negate
,noise,negate
thankyou,thank you good bye,thankyou
inform,i dont care,inform
inform,romanian food,inform
request,whats the address,request
reqalts,is there anything else,hello
reqalts,is there anything else,hello
reqalts,how about chinese food,hello
,unintelligible,inform
request,phone number,inform
,unintelligible,inform
request,what is the address,request
,what is the,request
request,what is the address,request
request,can i have the address please,inform
request,what is the phone number,request
inform,pan asian,inform
request,can i have the area of the restaurant,inform
inform,it doesnt matter,inform
inform,i want a gastropub restaurant,inform
request,what is the phone number,request
reqalts,what else,reqalts
request,what kind of food do they serve,confirm
inform,indian food,inform
inform,north part of town,negate
,noise,negate
request,whats their address,request
request,and their phone number,inform
request,whats the address,request
inform,moderate,inform
thankyou,thank you good bye,thankyou
request,what is the address and phone number,request
request,and the address,inform
inform,expensive,inform
inform,expensive,inform
request,phone number,inform
request,could i have the address phone number and price range please,request
inform,moderately priced swedish food,inform
reqalts,how about asian oriental,reqalts
thankyou,thank you good bye,thankyou
reqalts,is there anything else,hello
request,whats the phone number,request
confirm,is it in the west part of town,confirm
request,what is the address phone number and the price range,request
request,what is the phone number,request
bye,bye,inform
inform,moderate,inform
reqalts,give me another one,deny
request,and what type of food do they serve at pizza hutt,confirm
bye,kay thank you good bye,ack
thankyou,thank you good bye,thankyou
inform,expensive restaurant in the east of town,inform
inform,expensive restaurant,inform
inform,swedish food,inform
thankyou,thank you good bye,thankyou
reqalts,anything else,hello
reqalts,okay and what about spanish,ack
confirm,okay is it moderately priced,ack
request,can i get the address and phone number,inform
request,what is the address,request
inform,id like to find a moderately priced restaurant in the west of town,inform
request,what is the phone number and address,request
,noise,negate
inform,center part of town,inform
request,phone number,inform
request,phone number,inform
request,adddress,inform
inform,i dont care,inform
reqalts,is there anything else,hello
request,whats the address,request
negate,no thank you,negate
,noise,negate
bye,goodbye,bye
inform,cheap restaurant,inform
inform,food,inform
inform,south,inform
inform,north east,inform
inform,center,inform
inform,moderate,inform
inform,im looking for a restaurant that serves,inform
thankyou,thank you good bye,thankyou
reqalts,how about cantonese food,reqalts
request,price range,inform
reqalts,anything else,hello
request,phone number,inform
inform,doesnt matter thai food,inform
request,whats the phone number,request
inform,i dont care,inform
request,phone number,inform
thankyou,okay thank you good bye,ack
inform,caribbean food,inform
thankyou,thank you good bye,thankyou
request,in the area,inform
request,phone number,inform
thankyou,thank you good bye,thankyou
inform,uh i want a cheap restaurant and it should be in the north part of town,negate
reqalts,what else,reqalts
request,phone number,inform
thankyou,thank you goodbye,thankyou
inform,any,inform
thankyou,thank you good bye,thankyou
inform,i dont care,inform
inform,im looking for a restaurant serving french food,inform
request,can i have the phone number,inform
inform,a moderately priced restaurant in the,inform
thankyou,thank you good bye,thankyou
inform,cheap food in the east part of town,inform
thankyou,thank you good bye,thankyou
inform,im looking for a moderately priced restaurant that serves bistro,inform
request,what is the address,request
request,what is the phone number,request
inform,that serves restaurant in south part of town,inform
inform,cheap restaurant gastropub food,inform
request,type of food,inform
inform,gastropub food,inform
request,what about the area,request
request,what type of food do they have,confirm
thankyou,thank you good bye,thankyou
reqalts,anything else,hello
thankyou,thank you good bye,thankyou
inform,creative food,inform
thankyou,thank you good bye,thankyou
inform,i want a cheap restaurant in the south part of town,inform
request,whats the address,request
inform,any,inform
inform,english food,inform
,is there,inform
inform,asian oriental,inform
inform,any,inform
request,phone number,inform
inform,greek food,inform
inform,is there greek food,inform
,unintelligible,inform
request,can i get the phone number,inform
,unintelligible,inform
thankyou,thank you,thankyou
request,can i get the address and area of the venue,inform
request,can i have the address,inform
reqalts,anything else,hello
inform,north american,negate
inform,east,inform
request,address,inform
inform,cheap restaurant,inform
thankyou,thank you good bye,thankyou
inform,cheap restaurant,inform
request,address,inform
inform,any,inform
request,phone number,inform
request,post code,inform
request,address,inform
request,can i have the address,inform
,sil,inform
inform,i want spanish food,inform
confirm,is it in the center of town,confirm
request,may i have its address,inform
request,what part of town is it,confirm
inform,afghan,inform
request,phone number,inform
request,phone number,inform
inform,that serves takes out food,inform
request,address and post code,inform
thankyou,thank you good bye,thankyou
inform,indian food,inform
,adress,inform
inform,restaurant in north part of town,negate
,sil,inform
request,what part of town is it in,confirm
thankyou,thank you good bye,thankyou
inform,dont care,inform
request,whats the address,request
thankyou,thank you good bye,thankyou
,unintelligible,inform
inform,expensive,inform
inform,mediterranean food,inform
request,phone number,inform
thankyou,thank you good bye,thankyou
inform,for restaurant,inform
thankyou,thank you good bye,thankyou
reqalts,is there anything else,hello
request,phone number and type of food,inform
thankyou,thank you good bye,thankyou
inform,any area,inform
request,whats the price range,request
thankyou,thank you good bye,thankyou
,noise,negate
inform,im looking for swedish food,inform
request,address,inform
request,price range,inform
request,price range,inform
request,what part,request
thankyou,thank you good bye,thankyou
request,whats their post code,request
request,and the phone number,inform
reqalts,anything else,hello
request,whats the address,request
inform,i want to find a restaurant in the south part of town and it shows,inform
request,what is the phone number,request
inform,north,negate
request,whats the address,request
inform,cheap restaurant,inform
bye,goodbye,bye
request,phone number,inform
request,can i have the address and phone number,inform
request,what is the telephone number,request
request,address,inform
reqalts,is there anything else,hello
confirm,is it in the center of town,confirm
inform,that serves korean food,inform
thankyou,thank you good bye,thankyou
request,what is the address,request
request,what is the address,request
thankyou,thank you good bye,thankyou
affirm,yes can i have restaurants serving,affirm
inform,any price range,inform
inform,south part of town,inform
inform,expensive,inform
request,whats the address,request
request,whats the price range,request
inform,cheap restaurant south part of town,inform
reqalts,anything else,hello
thankyou,thank you good bye,thankyou
request,may i get the phone number,inform
request,and price range,inform
thankyou,thank you good bye,thankyou
inform,looking for a restaurant in the north of town,inform
inform,indian food,inform
request,the address,inform
request,address,inform
,noise,negate
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
inform,okay moderate price range,ack
thankyou,thank you goodbye,thankyou
request,the address and phone number,inform
inform,im looking for expensive restaurants that serve mediterranean food,inform
,okay can i,ack
inform,id like a cheap restaurant in the north part of town,negate
request,what is their phone number,request
inform,find me a portuguese restaurant,inform
reqalts,is there anything else,hello
request,what is the phone number,request
thankyou,thank you good bye,thankyou
inform,im looking for a moderately priced restaurant serve hungarian food,inform
thankyou,thank you,thankyou
request,can i have the phone number please,inform
request,what is the post code,request
request,the address,inform
thankyou,okay um thank you good bye,ack
,unintelligible,inform
inform,romanian food in the center,inform
inform,persian food,inform
reqalts,anything else,hello
request,the address,inform
thankyou,thank you good bye,thankyou
inform,hungarian,inform
inform,south,inform
inform,mexican food,inform
inform,any,inform
request,address,inform
thankyou,thank you good bye,thankyou
inform,for spanish food,inform
deny,dont want that,deny
request,can i have their address,inform
thankyou,thank you good bye,thankyou
inform,any kind in the north part of town,inform
request,breath may i have the phone number please,inform
thankyou,breath thank you goodbye,thankyou
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
inform,i need an expensive restaurant in the east part of town,inform
request,whats the address,request
,knocking,negate
inform,i need to find a restaurant in the west part of town,inform
inform,west,inform
negate,no i need a restaurant in the west part of town,negate
inform,cuban food,inform
reqalts,how about british food,reqalts
thankyou,uh thank you good bye,thankyou
request,and post code,inform
inform,im looking for a moderately priced restaurant,inform
,that serves,inform
reqalts,how about modern europone,reqalts
thankyou,thank you good bye,thankyou
inform,cheap,inform
inform,west part of town,inform
request,what is the price range,request
request,what is the address and phone number,request
reqalts,is there anything else,hello
reqalts,is there anything else,hello
request,what is the address and phone number,request
,unintelligible,inform
inform,doesnt matter,inform
,does do you know anyone who serves um,inform
,um,inform
inform,eritrean food,inform
inform,i dont care,inform
request,what is the phone,request
thankyou,thank you good bye,thankyou
inform,i dont care,inform
request,can i get the phone number,inform
thankyou,thank you goodbye,thankyou
inform,i want a european restaurant in the center part of town,inform
inform,indian food,inform
request,can i get the address,inform
inform,european food,inform
request,area,inform
request,what is the area,request
thankyou,thank you good bye,thankyou
inform,moderat,inform
inform,italian,inform
thankyou,thank you good bye,thankyou
affirm,yes,affirm
inform,vietnamese food,inform
request,where is the area of the venue,inform
inform,uh moderately priced restaurants in the south part of,inform
reqalts,how about portuguese,reqalts
inform,i would like an expensive restaurant in the south of town,inform
request,where,inform
thankyou,thank you good bye,thankyou
request,whats the phone number,request
inform,gastropub food,inform
inform,gastropub food,inform
inform,im looking for a moderately priced restaurant in the south part of town,inform
reqalts,is there anything else,hello
inform,is there a venue in the west part of town,inform
reqalts,what about a moderately priced restaurant,request
request,what food is in the west part of town,request
reqalts,is there anything else,hello
inform,im looking for an expensive restaurant that serves portuguese food,inform
reqalts,what about italian food,request
inform,greek,inform
inform,restaurant north,negate
thankyou,thank you,thankyou
inform,any part of town,inform
request,what is their phone number,request
inform,im looking for an expensive restaurant that serves mediteranian,inform
request,phone number,inform
affirm,yes,affirm
inform,im looking for a modreately,inform
inform,a restaurant that serves german food,inform
request,how about the post code,reqalts
inform,unusual,inform
reqalts,how about vietnamese,reqalts
inform,i dont care,inform
reqalts,how about chinese food,hello
request,what is the address and phone number,request
thankyou,thank you good bye,thankyou
request,what is the address,request
inform,im looking for an expensive restaurant that serves korean food,inform
inform,im sorry i meant creative food,inform
inform,is there one that serves creative,inform
inform,i want indian food,inform
inform,north american food,negate
inform,in the east part of town,inform
request,what type of food do they serve,confirm
thankyou,thank you good bye,thankyou
request,and the post code,inform
request,what is the phone number,request
thankyou,thank you goodbye,thankyou
,unintelligible,inform
inform,european food,inform
request,phone number,inform
thankyou,thank you goodbye,thankyou
inform,moderate price,inform
,serving,inform
thankyou,thank you good bye,thankyou
inform,looking for a moderately priced restaurant,inform
request,whats its post code,request
thankyou,thank you good bye,thankyou
request,may i have the phone number,inform
inform,the east part,inform
inform,the south part of town greek food,inform
,type,inform
inform,north,negate
inform,cheap restaurant in the north of town,negate
thankyou,thank you good bye,thankyou
request,could i get the phone number please,request
reqalts,is there anything else,hello
request,can i get the number,inform
request,phone number,inform
inform,moderate ly,inform
inform,european food,inform
request,what is the post code,request
inform,restaurant in the south part of town that serves indian food,inform
request,okay whats the phone number,ack
request,address,inform
thankyou,thank you good bye,thankyou
request,can i get the address,inform
request,a phone number please,inform
thankyou,thank you good bye,thankyou
inform,barbecue food,inform
inform,i want a restaurant in the we,inform
thankyou,thank you goodbye,thankyou
request,can i have the address,inform
inform,i want to find a moderately priced restaurant that serves vietna,inform
inform,ne vietnamese,inform
thankyou,thank you goodbye,thankyou
thankyou,thank you good bye,thankyou
inform,doesnt matter,inform
request,and the phone number,inform
request,uh can i have the phone number please,inform
request,id like the address and phone number please,inform
thankyou,thank you goodbye,thankyou
reqalts,is there anything else,hello
request,can you give me the phone number,inform
request,phone number,inform
request,post code,inform
inform,i dont care,inform
confirm,is it expensive,confirm
inform,im looking for a restaurant in the center,inform
inform,turkish,inform
inform,french food,inform
inform,i need a moderately priced restaurant that serves caribbean food,inform
reqalts,how about british food,reqalts
inform,south,inform
request,can i have the phone number,inform
thankyou,thank you good bye,thankyou
inform,serving international food,inform
reqalts,how about the center area,reqalts
thankyou,thank you good bye,thankyou
inform,i am looking for sweedish food,inform
request,what is the address and phone number,request
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
reqalts,is there anything else,hello
request,and what is the phone number,request
thankyou,thank you good bye,thankyou
inform,dont care,inform
request,address,inform
inform,i dont know,negate
thankyou,thank you good bye,thankyou
inform,moderate priced restaurant that serves spanish food,inform
inform,polish food,inform
inform,i want to find a restaurant in any area,inform
request,address,inform
bye,good bye,bye
inform,catalan,inform
inform,what about asian food,request
inform,cheap,inform
request,whats the post code,request
inform,irish,inform
inform,moderate please,inform
request,can i have the address,inform
,okay,ack
request,phone number,inform
inform,im looking for a restaurant in the north part of town that serves,inform
reqalts,is there anything else,hello
,unintelligible,inform
inform,im looking for a restaurant in the south part of town serving,inform
request,breath what is the phone number and post code,request
thankyou,thank you goodbye,thankyou
inform,west part,inform
ack,okay give me the first,ack
bye,okay good bye,ack
reqalts,anything else,hello
inform,im looking for a moderately priced restaurant with catalan food,inform
reqalts,how about a moderately priced restaurant that serves spani,reqalts
reqalts,is there anything else,hello
reqalts,anything else,hello
bye,cute thank you good bye,thankyou
inform,asian oriental food,inform
request,area,inform
inform,west part of town,inform
reqalts,do you have another option anything else,deny
inform,im looking for a moderately priced restaurant in the south of town,inform
reqalts,is there anything else,hello
thankyou,thank you good bye,thankyou
inform,i am looking for a restaurant in the south part of town,inform
thankyou,thank you good bye,thankyou
confirm,is there a jamaican restaurant,inform
,what about us,request
thankyou,thank you good bye,thankyou
request,phone number,inform
request,what is the price range,request
inform,i need a cheap restaurant,inform
reqalts,anything else,hello
reqalts,anything else,hello
thankyou,thank you good bye,thankyou
inform,id like to find a restaurant,inform
,appleton wisconsin,inform
reqalts,how about thai food,reqalts
inform,moderate,inform
request,address,inform
repeat,can you repeat that,inform
inform,any kind,inform
request,phone number,inform
inform,noise im looking for a moderately priced restaurant,inform
inform,i dont care,inform
request,address,inform
request,whats the phone number,request
inform,find a restaurant serving cuban food,inform
request,and what about the phone number,request
,how about,reqalts
request,phone number and post code,inform
thankyou,thank you good bye,thankyou
inform,korean food,inform
request,address price range,inform
thankyou,thank you good bye,thankyou
inform,chinese food please,hello
inform,cheap,inform
confirm,is it in the south part of town,confirm
inform,italian,inform
request,what is the phone number,request
thankyou,thank you good bye,thankyou
request,phone number and address,inform
inform,a want a cheap restaurant in the north part of town,negate
request,phone number,inform
inform,im looking for a cheap restaurant serving international food,inform
inform,european food,inform
,uh,inform
inform,south part of town,inform
request,address,inform
inform,cheap restaurant serving chinese food,hello
request,phone number and post code,inform
inform,cheap restaurant,inform
inform,north,negate
,i want to find,inform
reqalts,is there anything else,hello
reqalts,is there anything else,hello
bye,goodbye,bye
,sil,inform
request,the price range,inform
inform,i would like to find a cheap restaurant,inform
thankyou,thank you good bye,thankyou
affirm,yes,affirm
inform,cheap restaurant,inform
inform,in the west part of town,inform
request,what is the address,request
inform,cheap restaurant,inform
request,phone number,inform
request,and what is the post code,request
inform,any,inform
affirm,yes,affirm
inform,can i get a moderately priced restaurant in the north,negate
thankyou,uh thank you good bye,thankyou
,noise,negate
inform,south part of town,inform
thankyou,thank you,thankyou
inform,i need a cheap restaurant in the north part of town,negate
inform,a chinese,hello
affirm,yes iam looking for a cheap restaurant in the south part of town,affirm
request,um whats the address and post code,request
reqalts,is there anything else,hello
thankyou,alright thank you good,thankyou
reqalts,anything else,hello
request,what is the address,request
inform,im looking for a restaurant in the north part of town that serves euro,inform
inform,it doesnt matter,inform
thankyou,thank you goodbye,thankyou
request,phone number,inform
request,can i get address,inform
inform,north part,negate
reqalts,how about asian oriental,reqalts
request,may i have the address and phone number please,inform
inform,any part,inform
inform,unusual food,inform
inform,west,inform
inform,mediterranean,inform
,survey,inform
inform,im looking for a restaurant in the center of town that serves danish food,inform
reqalts,what about european food,request
inform,east,inform
inform,cheap,inform
,sil,inform
inform,tuscan,inform
request,whats its price range,request
request,phone number,inform
affirm,yes,affirm
request,what is the phone number,request
negate,no,negate
inform,i want to find an expensive restaurant that serves unusual food,inform
confirm,does it serve korean food,confirm
inform,anything,hello
inform,a cheap restaurant in,inform
request,what is the phone number,request
inform,italian,inform
request,what type of food do they serve,confirm
affirm,yes,affirm
bye,good bye,bye
thankyou,thank you good bye,thankyou
inform,thai food,inform
request,phone number,inform
request,can i get the phone number,inform
inform,south,inform
,noise,negate
thankyou,thank you good bye,thankyou
inform,christmas food,inform
inform,dont care,inform
thankyou,thank you good bye,thankyou
inform,im looking for a moderately priced restaurant serving spanish food,inform
thankyou,thank you good bye,thankyou
inform,i dont care,inform
inform,in the east,inform
inform,the east part of town,inform
inform,um anything else,hello
thankyou,thank you good bye,thankyou
inform,i need a restaurant that serves canape,inform
reqalts,ah how bout a turkish type of food,inform
affirm,yes,affirm
inform,north,negate
inform,it doesnt matter,inform
inform,cheap restaurant,inform
reqalts,how about italian food,reqalts
inform,welsh food,inform
,noise,negate
inform,im looking for a cheap restaurant in the west part of town,inform
inform,cuban,inform
inform,food,inform
inform,are there mediterranean restaurants in the center of town,inform
inform,portuguese type of food,inform
request,what is the phone number and address,request
inform,expensive,inform
request,address,inform
inform,british food,inform
inform,i dont care,inform
request,okay whats the phone number,ack
reqalts,is there anything else,hello
,sorry,inform
inform,im looking for something moderately priced,hello
affirm,yes,affirm
thankyou,thank you good bye,thankyou
request,and the post code,inform
,noise,negate
inform,i want a restaurant in the west part of town serving australian food,inform
request,what is the phone number,request
inform,british food in the west part of town,inform
,noise,negate
inform,im looking for a british restaurant,inform
inform,the south part of town,inform
affirm,yes,affirm
request,and would you be able to tell me the phone number,inform
inform,id like to find a restaurant in the west part of town that serves christmas food,inform
reqalts,how about italian food,reqalts
inform,swedish,inform
request,what is the phone number and address,request
inform,chinese restaurant,hello
thankyou,thank you good bye,thankyou
request,i need the address,inform
thankyou,thank you good bye,thankyou
reqalts,how about indian food,reqalts
inform,sea food,inform
affirm,right,inform
inform,dont care,inform
inform,uh italian,inform
negate,no id like cheap restaurant in the west part of town,negate
inform,romanian food,inform
negate,no,negate
reqalts,how about vietnamese,reqalts
reqalts,what about vietnamese food,request
thankyou,thank you goodbye,thankyou
inform,korean,inform
inform,unusual food,inform
inform,im looking for a moderately priced restaurant serving creative food,inform
inform,doesnt matter,inform
inform,i would like mexican food,inform
bye,very good thank you good bye,thankyou
inform,a cheap restaurant,inform
inform,c h e a p cheap,inform
inform,cheap,inform
inform,ok i want to find a restaurant in the south part of town,inform
thankyou,thank you good bye,thankyou
inform,north part of town please,negate
request,what is their special dish,request
bye,goodbye,bye
inform,moderately priced,inform
request,and the address,inform
inform,im looking for european food,inform
inform,im looking for a expensive restaurant and it should serve french food,inform
inform,french food,inform
inform,any,inform
request,what the phone number,request
,noise,negate
reqalts,how about asian oriental,reqalts
inform,asian oriental,inform
negate,no,negate
inform,restaurant with corsica food,inform
inform,gastro,inform
inform,gastropub food,inform
inform,ah any,inform
thankyou,thank you goodbye,thankyou
request,address and the post code,inform
inform,moderate,inform
inform,chinese food,hello
inform,west part of town,inform
inform,west,inform
,left,inform
deny,wrong,deny
bye,okay thank you and good bye,ack
request,okay can i get the address,ack
request,the price range,inform
restart,reset,restart
inform,im looking for a place that serves mexican food,inform
inform,doesnt matter,inform
thankyou,thank you goodbye noise,negate
,sil,inform
inform,looking for a restaurant in the north part of town and it should serve korean food,inform
thankyou,thank you good bye,thankyou
inform,i need a restaurant in the north part of town that serves lebanese food,negate
inform,lebanse,inform
affirm,yes,affirm
thankyou,thank you good bye,thankyou
inform,east,inform
inform,indian,inform
inform,the north part,negate
reqalts,anything else,hello
thankyou,thank you good bye,thankyou
inform,restaurant in west part of town,inform
inform,vietnamese food,inform
,noise,negate
negate,no,negate
,unintelligible,inform
,unintelligible,inform
affirm,yes,affirm
request,whats the phone number,request
inform,serving christmas food,inform
,sil,inform
affirm,yes,affirm
request,what are the price ranges available,request
inform,moderate,inform
inform,any price range,inform
inform,indonesian food,inform
affirm,yes,affirm
inform,indian food,inform
inform,european food,inform
inform,doesnt matter,inform
inform,dont care,inform
reqalts,is there anything else,hello
request,what is the area,request
request,what is their phone number,request
inform,im looking for a restaurant in the center and it should serve swedish food,inform
inform,swedish food,inform
inform,i am looking for a restaurant in the center,inform
inform,catalan food,inform
inform,a restaurant in the center,inform
inform,italian food in the center,inform
request,price range,inform
inform,asian oriental,inform
inform,im looking for a restaurant in the east part of town that serves spanish food,inform
inform,spanish food,inform
inform,chinese food,hello
request,signature dish,inform
inform,doesnt matter,inform
inform,any part,inform
thankyou,thank you good bye,thankyou
inform,expensive restaurant,inform
inform,the west,inform
inform,east,inform
inform,any,inform
inform,scandinavian food,inform
inform,asian,inform
negate,no,negate
affirm,yes,affirm
thankyou,thank you,thankyou
affirm,yes can i get an expensive restaurant in the south part of town,affirm
