dialog_act,utterance,prediction
inform,iam looking for a restaurant in any area that serves swiss food,inform
no dialog,how about,no dialog
inform,looking for corsica food in an expensive restaurant,inform
request,how about the phone number,request
inform,cheap,inform
reqalts,how about chinese food,reqalts
affirm,yes,affirm
confirm,is it moderately,confirm
request,offer you the phone number and address,request
inform,cheap restaurant,inform
request,address,request
inform,im looking for french food,inform
request,whats the address,request
inform,it should serve caribbean food,inform
request,and whats the address,request
request,phone number,request
thankyou,thank you good bye,thankyou
inform,cheap italian,inform
no dialog,okay,no dialog
inform,im looking for an expensive restaurant,inform
inform,i am looking for an expensive restaurant,inform
inform,of this restaurant,inform
thankyou,thank you,thankyou
reqalts,how about indian food,reqalts
inform,indian food,inform
thankyou,thank you good bye,thankyou
no dialog,that serves,no dialog
request,and the post code,request
inform,any,inform
inform,i need a cheap restaurant in the east part of town,inform
thankyou,okay thank you good bye,thankyou
no dialog,what do you recommend,request
inform,caribbean food,inform
thankyou,okay thank you good bye,thankyou
inform,korean food,inform
inform,the south part of town,inform
request,what is the phone number,request
affirm,yea,affirm
inform,im looking for a cheap restaurant in the south part of town,inform
thankyou,thank you,thankyou
inform,cheap restaurant,inform
request,ah whats the phone number,request
reqalts,how about portuguese food,reqalts
inform,any,inform
request,address please,request
inform,is there a restaurant in the center of town serving,confirm
inform,spanish,inform
thankyou,thank you good bye,thankyou
inform,cantonese food,inform
inform,north part of town,inform
inform,expensive,inform
reqalts,anything else,reqalts
request,phone number,request
inform,spanish,inform
no dialog,and whats the other one,reqalts
inform,i dont care but it needs to be in the west part of town,inform
request,whats the address,request
no dialog,sil,no dialog
inform,id like to find a moderately priced restaurant,inform
thankyou,thank you good bye,thankyou
request,what is the price range,request
request,what is the post code,request
request,address,request
affirm,ye,affirm
thankyou,um thank you goodbye,thankyou
inform,restaurant,inform
request,phone number,request
thankyou,thank you,thankyou
inform,hungarian food in the center of town,inform
inform,turkish food,inform
inform,cheap,inform
inform,north,inform
affirm,yes,affirm
inform,west area,inform
bye,yawning thank you and good bye,thankyou
thankyou,thank you good bye,thankyou
request,and the phone number,request
request,what is the address and phone number,request
inform,im looking for a moderately priced restaurant and it should serve,inform
affirm,yes,affirm
negate,no indian,negate
affirm,yeah,affirm
affirm,yes,affirm
request,may i have the address and post code,request
thankyou,thank you good bye,thankyou
inform,chinese,inform
reqalts,is there anything else,reqalts
inform,i dont care,inform
thankyou,thank you good bye,thankyou
request,phone number,request
inform,expensive,inform
thankyou,thank you good bye,thankyou
request,address,request
request,post code,request
request,what is the phone number,request
inform,looking for a cheap restaurant in the east part of town,inform
inform,thai food,inform
affirm,yes,affirm
request,whats the postcode,request
no dialog,id like to find,no dialog
inform,im looking for a moderately priced restaurant serving basque food,inform
reqalts,how about british food,reqalts
thankyou,thank you good bye,thankyou
inform,danish,inform
no dialog,sil,no dialog
thankyou,thank you good bye,thankyou
inform,id like a moderately priced restaurant in west of,inform
inform,dont care,inform
request,phone number,request
reqalts,another,reqalts
inform,im looking for a restaurant in the south part of town,inform
inform,find me a restaurant serving italian food,inform
inform,the west part of town,inform
inform,i dont care,inform
reqalts,how about british type of food,reqalts
reqalts,how about british type of food,reqalts
reqalts,how about british type of food,reqalts
request,may i have the phone number,request
reqalts,how about north american food,reqalts
request,and whats their phone number,request
inform,venesian,inform
inform,id like a cheap restaurant in the west part of town,inform
thankyou,thank you good bye,thankyou
inform,any type,inform
inform,basque food,inform
inform,basque food,inform
inform,any,inform
inform,dont care,inform
reqalts,is there a restaurant serving modern european food,confirm
reqalts,is there a restaurant serving modern european food,confirm
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
inform,i dont care,inform
reqalts,how about italian food,reqalts
inform,in the center,inform
request,postcode,request
inform,scottish food,inform
thankyou,thank you good bye,thankyou
inform,french noise,inform
negate,no french food,negate
thankyou,thank you goodbye,thankyou
inform,british food,inform
thankyou,thank you good bye,thankyou
inform,expensive,inform
inform,serving lebanese food,inform
request,can i have the phone number,request
request,whats the address,request
affirm,yes,affirm
inform,south,inform
inform,south,inform
request,may i have the address phone,request
inform,italian food,inform
no dialog,noise,no dialog
inform,expensive romanian food,inform
inform,expensive korean food,inform
thankyou,thank you good bye,thankyou
inform,i dont care,inform
negate,no,negate
affirm,yes,affirm
inform,north,inform
inform,spanish,inform
affirm,yes,affirm
inform,a cheap restaurant,inform
inform,korean,inform
inform,im looking for an expensive restaurant that serves australian food,inform
reqalts,how about british type of food,reqalts
inform,i dont care,inform
inform,persian food,inform
request,what is the address and phone number,request
inform,i want a moderately priced cantonese restaurant,inform
inform,uh i dont care,inform
request,whats the phone number,request
thankyou,thank you good bye,thankyou
request,address,request
inform,um west side,inform
inform,i dont care,inform
inform,uh center,inform
inform,british food,inform
inform,british food,inform
inform,any range,inform
request,price range,request
inform,south part,inform
inform,south part,inform
inform,im looking in the south of the town,inform
reqalts,next,reqalts
reqalts,next,reqalts
inform,korean,inform
inform,i dont care,inform
request,phone number,request
inform,im looking for a restaurant that serves tuscan food,inform
request,whats their phone number,request
inform,uh doesnt matter,inform
reqalts,anything else,reqalts
inform,the north part of town,inform
inform,any,inform
thankyou,thank you good bye,thankyou
inform,south,inform
request,what is the address and phone number,request
reqalts,how about european type of food,reqalts
affirm,yes,affirm
bye,good bye,bye
inform,im looking for cheap food in the north of town,inform
reqalts,is there anything else,reqalts
inform,spanish,inform
request,can i have the phone number,request
inform,north,inform
inform,any part of town,inform
request,what is the address and post code,request
inform,im looking for a moderately priced restaurant in the south,inform
request,what type of food,request
bye,good bye,bye
thankyou,thank you goodbye,thankyou
request,address,request
inform,im looking for an expensive restaurant in the east part of town,inform
request,whats the phone number,request
inform,im looking for a restaurant that serves italian,inform
affirm,yes,affirm
request,uh can i get the address,request
request,and the phone number,request
inform,in the south part of town,inform
request,whats the phone number,request
no dialog,unintelligible,no dialog
no dialog,unintelligible,no dialog
thankyou,thank you good bye,thankyou
inform,expensive restaurant that serves lebanese food,inform
inform,im looking for a restaurant serving pan asian foo,inform
request,what is the phone number and addre,request
inform,im looking for a cheap restaurant,inform
request,oh where is it,request
reqalts,is there anything else,reqalts
reqalts,is there anything else,reqalts
request,address,request
affirm,uh yes can i get the address,affirm
inform,any,inform
reqalts,and what is the other restaurant,reqalts
reqalts,is there another restaurant that serves portuguese food,reqalts
inform,can i have a different restaurant that serves portuguese food,request
thankyou,thank you good bye,thankyou
affirm,right,affirm
request,and the post code,request
request,address,request
negate,no thank you good bye,negate
inform,im looking for a restaurant in the west part of town that serves corsica food,inform
no dialog,noise,no dialog
inform,center part of town,inform
thankyou,thank you good bye,thankyou
inform,a moderately priced fusion food,inform
thankyou,thank you good bye,thankyou
inform,moderately priced in the west part of town,inform
inform,any,inform
reqalts,what about asian oriental,reqalts
reqalts,how about asian oriental food,reqalts
request,what is the address and phone number,request
repeat,repeat that,repeat
no dialog,whats the other one,reqalts
inform,im looking for a moderately priced restaurant,inform
inform,i dont care,inform
inform,im looking for a restaurant in the east part of town that serves,inform
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
hello,hi im looking for a moderately priced restaurant,hello
request,address,request
inform,i dont care,inform
request,may i have the address phone number and post code,request
thankyou,thank you good bye,thankyou
affirm,uh yes can i find a cheap restaurant in the north part of town,affirm
inform,international food,inform
inform,the south,inform
request,address post code,request
confirm,is there a portugeuse food,reqalts
request,whats the phone number,request
inform,south part of town,inform
request,whats the address,request
inform,im looking for a cheap restaurant that serves brazilian,inform
inform,moderately priced,inform
inform,north,inform
negate,no,negate
inform,any,inform
inform,any,inform
inform,mediterranean food,inform
request,whats the post code,request
inform,cheap cheap restaurant,inform
thankyou,thank you good bye,thankyou
inform,any,inform
request,phone number,request
request,the address and phone number,request
thankyou,thank you good bye,thankyou
inform,world food,inform
request,and the price range,request
inform,center,inform
inform,indian,inform
request,what is the address,request
inform,im looking for an expensive restaurant in the east part of town,inform
request,a post code,request
inform,it doesnt matter,inform
inform,portuguese,inform
thankyou,thank you good bye,thankyou
request,what is the phone number and post code,request
request,and the post code of the venue,request
inform,i dont care,inform
inform,any area,inform
inform,mediterranean restaurant in any part of town,inform
request,can i get the phone number,request
reqalts,how about asian oriental food,reqalts
thankyou,thank you good bye,thankyou
inform,im looking for a restaurant in the south part of town,inform
inform,any kind,inform
request,phone number,request
negate,no caribbean,negate
inform,any part,inform
affirm,yes,affirm
inform,um a cheap restaurant in the west part of town,inform
affirm,yes,affirm
request,what is the address,request
inform,west part of town,inform
inform,malaysian,inform
affirm,yes,affirm
affirm,yes,affirm
no dialog,noise,no dialog
request,the price range,request
negate,no not noise,deny
inform,any price range noise,inform
no dialog,noise,no dialog
request,noise can i get the address and phone number,request
no dialog,noise,no dialog
thankyou,thank you good bye,thankyou
inform,i dont care,inform
inform,romanian food,inform
request,whats the address,request
reqalts,is there anything else,reqalts
reqalts,is there anything else,reqalts
reqalts,how about chinese food,reqalts
no dialog,unintelligible,no dialog
request,phone number,request
no dialog,unintelligible,no dialog
request,what is the address,request
no dialog,what is the,no dialog
request,what is the address,request
request,can i have the address please,request
request,what is the phone number,request
inform,pan asian,inform
request,can i have the area of the restaurant,inform
inform,it doesnt matter,inform
inform,i want a gastropub restaurant,inform
request,what is the phone number,request
reqalts,what else,reqalts
request,what kind of food do they serve,request
inform,indian food,inform
inform,north part of town,inform
no dialog,noise,no dialog
request,whats their address,request
request,and their phone number,request
request,whats the address,request
inform,moderate,inform
thankyou,thank you good bye,thankyou
request,what is the address and phone number,request
request,and the address,request
inform,expensive,inform
inform,expensive,inform
request,phone number,request
request,could i have the address phone number and price range please,request
inform,moderately priced swedish food,inform
reqalts,how about asian oriental,reqalts
thankyou,thank you good bye,thankyou
reqalts,is there anything else,reqalts
request,whats the phone number,request
confirm,is it in the west part of town,confirm
request,what is the address phone number and the price range,request
request,what is the phone number,request
bye,bye,bye
inform,moderate,inform
reqalts,give me another one,reqalts
request,and what type of food do they serve at pizza hutt,request
bye,kay thank you good bye,thankyou
thankyou,thank you good bye,thankyou
inform,expensive restaurant in the east of town,inform
inform,expensive restaurant,inform
inform,swedish food,inform
thankyou,thank you good bye,thankyou
reqalts,anything else,reqalts
reqalts,okay and what about spanish,reqalts
confirm,okay is it moderately priced,confirm
request,can i get the address and phone number,request
request,what is the address,request
inform,id like to find a moderately priced restaurant in the west of town,inform
request,what is the phone number and address,request
no dialog,noise,no dialog
inform,center part of town,inform
request,phone number,request
request,phone number,request
request,adddress,no dialog
inform,i dont care,inform
reqalts,is there anything else,reqalts
request,whats the address,request
negate,no thank you,negate
no dialog,noise,no dialog
bye,goodbye,bye
inform,cheap restaurant,inform
inform,food,inform
inform,south,inform
inform,north east,inform
inform,center,inform
inform,moderate,inform
inform,im looking for a restaurant that serves,inform
thankyou,thank you good bye,thankyou
reqalts,how about cantonese food,reqalts
request,price range,request
reqalts,anything else,reqalts
request,phone number,request
inform,doesnt matter thai food,inform
request,whats the phone number,request
inform,i dont care,inform
request,phone number,request
thankyou,okay thank you good bye,thankyou
inform,caribbean food,inform
thankyou,thank you good bye,thankyou
request,in the area,inform
request,phone number,request
thankyou,thank you good bye,thankyou
inform,uh i want a cheap restaurant and it should be in the north part of town,inform
reqalts,what else,reqalts
request,phone number,request
thankyou,thank you goodbye,thankyou
inform,any,inform
thankyou,thank you good bye,thankyou
inform,i dont care,inform
inform,im looking for a restaurant serving french food,inform
request,can i have the phone number,request
inform,a moderately priced restaurant in the,inform
thankyou,thank you good bye,thankyou
inform,cheap food in the east part of town,inform
thankyou,thank you good bye,thankyou
inform,im looking for a moderately priced restaurant that serves bistro,inform
request,what is the address,request
request,what is the phone number,request
inform,that serves restaurant in south part of town,inform
inform,cheap restaurant gastropub food,inform
request,type of food,request
inform,gastropub food,inform
request,what about the area,request
request,what type of food do they have,request
thankyou,thank you good bye,thankyou
reqalts,anything else,reqalts
thankyou,thank you good bye,thankyou
inform,creative food,inform
thankyou,thank you good bye,thankyou
inform,i want a cheap restaurant in the south part of town,inform
request,whats the address,request
inform,any,inform
inform,english food,inform
no dialog,is there,no dialog
inform,asian oriental,inform
inform,any,inform
request,phone number,request
inform,greek food,inform
inform,is there greek food,confirm
no dialog,unintelligible,no dialog
request,can i get the phone number,request
no dialog,unintelligible,no dialog
thankyou,thank you,thankyou
request,can i get the address and area of the venue,request
request,can i have the address,request
reqalts,anything else,reqalts
inform,north american,inform
inform,east,inform
request,address,request
inform,cheap restaurant,inform
thankyou,thank you good bye,thankyou
inform,cheap restaurant,inform
request,address,request
inform,any,inform
request,phone number,request
request,post code,request
request,address,request
request,can i have the address,request
no dialog,sil,no dialog
inform,i want spanish food,inform
confirm,is it in the center of town,confirm
request,may i have its address,request
request,what part of town is it,request
inform,afghan,inform
request,phone number,request
request,phone number,request
inform,that serves takes out food,no dialog
request,address and post code,request
thankyou,thank you good bye,thankyou
inform,indian food,inform
no dialog,adress,no dialog
inform,restaurant in north part of town,inform
no dialog,sil,no dialog
request,what part of town is it in,request
thankyou,thank you good bye,thankyou
inform,dont care,inform
request,whats the address,request
thankyou,thank you good bye,thankyou
no dialog,unintelligible,no dialog
inform,expensive,inform
inform,mediterranean food,inform
request,phone number,request
thankyou,thank you good bye,thankyou
inform,for restaurant,inform
thankyou,thank you good bye,thankyou
reqalts,is there anything else,reqalts
request,phone number and type of food,request
thankyou,thank you good bye,thankyou
inform,any area,inform
request,whats the price range,request
thankyou,thank you good bye,thankyou
no dialog,noise,no dialog
inform,im looking for swedish food,inform
request,address,request
request,price range,request
request,price range,request
request,what part,no dialog
thankyou,thank you good bye,thankyou
request,whats their post code,request
request,and the phone number,request
reqalts,anything else,reqalts
request,whats the address,request
inform,i want to find a restaurant in the south part of town and it shows,inform
request,what is the phone number,request
inform,north,inform
request,whats the address,request
inform,cheap restaurant,inform
bye,goodbye,bye
request,phone number,request
request,can i have the address and phone number,request
request,what is the telephone number,request
request,address,request
reqalts,is there anything else,reqalts
confirm,is it in the center of town,confirm
inform,that serves korean food,inform
thankyou,thank you good bye,thankyou
request,what is the address,request
request,what is the address,request
thankyou,thank you good bye,thankyou
affirm,yes can i have restaurants serving,affirm
inform,any price range,inform
inform,south part of town,inform
inform,expensive,inform
request,whats the address,request
request,whats the price range,request
inform,cheap restaurant south part of town,inform
reqalts,anything else,reqalts
thankyou,thank you good bye,thankyou
request,may i get the phone number,request
request,and price range,request
thankyou,thank you good bye,thankyou
inform,looking for a restaurant in the north of town,inform
inform,indian food,inform
request,the address,request
request,address,request
no dialog,noise,no dialog
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
inform,okay moderate price range,inform
thankyou,thank you goodbye,thankyou
request,the address and phone number,request
inform,im looking for expensive restaurants that serve mediterranean food,inform
no dialog,okay can i,no dialog
inform,id like a cheap restaurant in the north part of town,inform
request,what is their phone number,request
inform,find me a portuguese restaurant,inform
reqalts,is there anything else,reqalts
request,what is the phone number,request
thankyou,thank you good bye,thankyou
inform,im looking for a moderately priced restaurant serve hungarian food,inform
thankyou,thank you,thankyou
request,can i have the phone number please,request
request,what is the post code,request
request,the address,request
thankyou,okay um thank you good bye,thankyou
no dialog,unintelligible,no dialog
inform,romanian food in the center,inform
inform,persian food,inform
reqalts,anything else,reqalts
request,the address,request
thankyou,thank you good bye,thankyou
inform,hungarian,inform
inform,south,inform
inform,mexican food,inform
inform,any,inform
request,address,request
thankyou,thank you good bye,thankyou
inform,for spanish food,inform
deny,dont want that,deny
request,can i have their address,request
thankyou,thank you good bye,thankyou
inform,any kind in the north part of town,inform
request,breath may i have the phone number please,request
thankyou,breath thank you goodbye,thankyou
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
inform,i need an expensive restaurant in the east part of town,inform
request,whats the address,request
no dialog,knocking,no dialog
inform,i need to find a restaurant in the west part of town,inform
inform,west,inform
negate,no i need a restaurant in the west part of town,negate
inform,cuban food,inform
reqalts,how about british food,reqalts
thankyou,uh thank you good bye,thankyou
request,and post code,request
inform,im looking for a moderately priced restaurant,inform
no dialog,that serves,no dialog
reqalts,how about modern europone,inform
thankyou,thank you good bye,thankyou
inform,cheap,inform
inform,west part of town,inform
request,what is the price range,request
request,what is the address and phone number,request
reqalts,is there anything else,reqalts
reqalts,is there anything else,reqalts
request,what is the address and phone number,request
no dialog,unintelligible,no dialog
inform,doesnt matter,inform
no dialog,does do you know anyone who serves um,inform
no dialog,um,no dialog
inform,eritrean food,inform
inform,i dont care,inform
request,what is the phone,request
thankyou,thank you good bye,thankyou
inform,i dont care,inform
request,can i get the phone number,request
thankyou,thank you goodbye,thankyou
inform,i want a european restaurant in the center part of town,inform
inform,indian food,inform
request,can i get the address,request
inform,european food,inform
request,area,request
request,what is the area,request
thankyou,thank you good bye,thankyou
inform,moderat,no dialog
inform,italian,inform
thankyou,thank you good bye,thankyou
affirm,yes,affirm
inform,vietnamese food,inform
request,where is the area of the venue,request
inform,uh moderately priced restaurants in the south part of,inform
reqalts,how about portuguese,reqalts
inform,i would like an expensive restaurant in the south of town,inform
request,where,no dialog
thankyou,thank you good bye,thankyou
request,whats the phone number,request
inform,gastropub food,inform
inform,gastropub food,inform
inform,im looking for a moderately priced restaurant in the south part of town,inform
reqalts,is there anything else,reqalts
inform,is there a venue in the west part of town,confirm
reqalts,what about a moderately priced restaurant,reqalts
request,what food is in the west part of town,request
reqalts,is there anything else,reqalts
inform,im looking for an expensive restaurant that serves portuguese food,inform
reqalts,what about italian food,reqalts
inform,greek,inform
inform,restaurant north,inform
thankyou,thank you,thankyou
inform,any part of town,inform
request,what is their phone number,request
inform,im looking for an expensive restaurant that serves mediteranian,inform
request,phone number,request
affirm,yes,affirm
inform,im looking for a modreately,inform
inform,a restaurant that serves german food,inform
request,how about the post code,request
inform,unusual,inform
reqalts,how about vietnamese,reqalts
inform,i dont care,inform
reqalts,how about chinese food,reqalts
request,what is the address and phone number,request
thankyou,thank you good bye,thankyou
request,what is the address,request
inform,im looking for an expensive restaurant that serves korean food,inform
inform,im sorry i meant creative food,inform
inform,is there one that serves creative,inform
inform,i want indian food,inform
inform,north american food,inform
inform,in the east part of town,inform
request,what type of food do they serve,request
thankyou,thank you good bye,thankyou
request,and the post code,request
request,what is the phone number,request
thankyou,thank you goodbye,thankyou
no dialog,unintelligible,no dialog
inform,european food,inform
request,phone number,request
thankyou,thank you goodbye,thankyou
inform,moderate price,inform
no dialog,serving,no dialog
thankyou,thank you good bye,thankyou
inform,looking for a moderately priced restaurant,inform
request,whats its post code,request
thankyou,thank you good bye,thankyou
request,may i have the phone number,request
inform,the east part,inform
inform,the south part of town greek food,inform
no dialog,type,no dialog
inform,north,inform
inform,cheap restaurant in the north of town,inform
thankyou,thank you good bye,thankyou
request,could i get the phone number please,request
reqalts,is there anything else,reqalts
request,can i get the number,request
request,phone number,request
inform,moderate ly,inform
inform,european food,inform
request,what is the post code,request
inform,restaurant in the south part of town that serves indian food,inform
request,okay whats the phone number,request
request,address,request
thankyou,thank you good bye,thankyou
request,can i get the address,request
request,a phone number please,request
thankyou,thank you good bye,thankyou
inform,barbecue food,inform
inform,i want a restaurant in the we,inform
thankyou,thank you goodbye,thankyou
request,can i have the address,request
inform,i want to find a moderately priced restaurant that serves vietna,inform
inform,ne vietnamese,inform
thankyou,thank you goodbye,thankyou
thankyou,thank you good bye,thankyou
inform,doesnt matter,inform
request,and the phone number,request
request,uh can i have the phone number please,request
request,id like the address and phone number please,request
thankyou,thank you goodbye,thankyou
reqalts,is there anything else,reqalts
request,can you give me the phone number,request
request,phone number,request
request,post code,request
inform,i dont care,inform
confirm,is it expensive,confirm
inform,im looking for a restaurant in the center,inform
inform,turkish,inform
inform,french food,inform
inform,i need a moderately priced restaurant that serves caribbean food,inform
reqalts,how about british food,reqalts
inform,south,inform
request,can i have the phone number,request
thankyou,thank you good bye,thankyou
inform,serving international food,inform
reqalts,how about the center area,reqalts
thankyou,thank you good bye,thankyou
inform,i am looking for sweedish food,inform
request,what is the address and phone number,request
thankyou,thank you good bye,thankyou
thankyou,thank you good bye,thankyou
reqalts,is there anything else,reqalts
request,and what is the phone number,request
thankyou,thank you good bye,thankyou
inform,dont care,inform
request,address,request
inform,i dont know,inform
thankyou,thank you good bye,thankyou
inform,moderate priced restaurant that serves spanish food,inform
inform,polish food,inform
inform,i want to find a restaurant in any area,inform
request,address,request
bye,good bye,bye
inform,catalan,inform
inform,what about asian food,inform
inform,cheap,inform
request,whats the post code,request
inform,irish,inform
inform,moderate please,inform
request,can i have the address,request
no dialog,okay,no dialog
request,phone number,request
inform,im looking for a restaurant in the north part of town that serves,inform
reqalts,is there anything else,reqalts
no dialog,unintelligible,no dialog
inform,im looking for a restaurant in the south part of town serving,inform
request,breath what is the phone number and post code,request
thankyou,thank you goodbye,thankyou
inform,west part,inform
ack,okay give me the first,no dialog
bye,okay good bye,bye
reqalts,anything else,reqalts
inform,im looking for a moderately priced restaurant with catalan food,inform
reqalts,how about a moderately priced restaurant that serves spani,reqalts
reqalts,is there anything else,reqalts
reqalts,anything else,reqalts
bye,cute thank you good bye,thankyou
inform,asian oriental food,inform
request,area,request
inform,west part of town,inform
reqalts,do you have another option anything else,reqalts
inform,im looking for a moderately priced restaurant in the south of town,inform
reqalts,is there anything else,reqalts
thankyou,thank you good bye,thankyou
inform,i am looking for a restaurant in the south part of town,inform
thankyou,thank you good bye,thankyou
confirm,is there a jamaican restaurant,reqalts
no dialog,what about us,reqalts
thankyou,thank you good bye,thankyou
request,phone number,request
request,what is the price range,request
inform,i need a cheap restaurant,inform
reqalts,anything else,reqalts
reqalts,anything else,reqalts
thankyou,thank you good bye,thankyou
inform,id like to find a restaurant,inform
no dialog,appleton wisconsin,no dialog
reqalts,how about thai food,reqalts
inform,moderate,inform
request,address,request
repeat,can you repeat that,repeat
inform,any kind,inform
request,phone number,request
inform,noise im looking for a moderately priced restaurant,inform
inform,i dont care,inform
request,address,request
request,whats the phone number,request
inform,find a restaurant serving cuban food,inform
request,and what about the phone number,request
no dialog,how about,no dialog
request,phone number and post code,request
thankyou,thank you good bye,thankyou
inform,korean food,inform
request,address price range,request
thankyou,thank you good bye,thankyou
inform,chinese food please,inform
inform,cheap,inform
confirm,is it in the south part of town,confirm
inform,italian,inform
request,what is the phone number,request
thankyou,thank you good bye,thankyou
request,phone number and address,request
inform,a want a cheap restaurant in the north part of town,inform
request,phone number,request
inform,im looking for a cheap restaurant serving international food,inform
inform,european food,inform
no dialog,uh,no dialog
inform,south part of town,inform
request,address,request
inform,cheap restaurant serving chinese food,inform
request,phone number and post code,request
inform,cheap restaurant,inform
inform,north,inform
no dialog,i want to find,no dialog
reqalts,is there anything else,reqalts
reqalts,is there anything else,reqalts
bye,goodbye,bye
no dialog,sil,no dialog
request,the price range,request
inform,i would like to find a cheap restaurant,inform
thankyou,thank you good bye,thankyou
affirm,yes,affirm
inform,cheap restaurant,inform
inform,in the west part of town,inform
request,what is the address,request
inform,cheap restaurant,inform
request,phone number,request
request,and what is the post code,request
inform,any,inform
affirm,yes,affirm
inform,can i get a moderately priced restaurant in the north,inform
thankyou,uh thank you good bye,thankyou
no dialog,noise,no dialog
inform,south part of town,inform
thankyou,thank you,thankyou
inform,i need a cheap restaurant in the north part of town,inform
inform,a chinese,inform
affirm,yes iam looking for a cheap restaurant in the south part of town,affirm
request,um whats the address and post code,request
reqalts,is there anything else,reqalts
thankyou,alright thank you good,bye
reqalts,anything else,reqalts
request,what is the address,request
inform,im looking for a restaurant in the north part of town that serves euro,inform
inform,it doesnt matter,inform
thankyou,thank you goodbye,thankyou
request,phone number,request
request,can i get address,request
inform,north part,inform
reqalts,how about asian oriental,reqalts
request,may i have the address and phone number please,request
inform,any part,inform
inform,unusual food,inform
inform,west,inform
inform,mediterranean,inform
no dialog,survey,no dialog
inform,im looking for a restaurant in the center of town that serves danish food,inform
reqalts,what about european food,reqalts
inform,east,inform
inform,cheap,inform
no dialog,sil,no dialog
inform,tuscan,inform
request,whats its price range,request
request,phone number,request
affirm,yes,affirm
request,what is the phone number,request
negate,no,negate
inform,i want to find an expensive restaurant that serves unusual food,inform
confirm,does it serve korean food,confirm
inform,anything,inform
inform,a cheap restaurant in,inform
request,what is the phone number,request
inform,italian,inform
request,what type of food do they serve,request
affirm,yes,affirm
bye,good bye,bye
thankyou,thank you good bye,thankyou
inform,thai food,inform
request,phone number,request
request,can i get the phone number,request
inform,south,inform
no dialog,noise,no dialog
thankyou,thank you good bye,thankyou
inform,christmas food,inform
inform,dont care,inform
thankyou,thank you good bye,thankyou
inform,im looking for a moderately priced restaurant serving spanish food,inform
thankyou,thank you good bye,thankyou
inform,i dont care,inform
inform,in the east,inform
inform,the east part of town,inform
inform,um anything else,inform
thankyou,thank you good bye,thankyou
inform,i need a restaurant that serves canape,inform
reqalts,ah how bout a turkish type of food,inform
affirm,yes,affirm
inform,north,inform
inform,it doesnt matter,inform
inform,cheap restaurant,inform
reqalts,how about italian food,reqalts
inform,welsh food,inform
no dialog,noise,no dialog
inform,im looking for a cheap restaurant in the west part of town,inform
inform,cuban,inform
inform,food,inform
inform,are there mediterranean restaurants in the center of town,inform
inform,portuguese type of food,inform
request,what is the phone number and address,request
inform,expensive,inform
request,address,request
inform,british food,inform
inform,i dont care,inform
request,okay whats the phone number,request
reqalts,is there anything else,reqalts
no dialog,sorry,no dialog
inform,im looking for something moderately priced,inform
affirm,yes,affirm
thankyou,thank you good bye,thankyou
request,and the post code,request
no dialog,noise,no dialog
inform,i want a restaurant in the west part of town serving australian food,inform
request,what is the phone number,request
inform,british food in the west part of town,inform
no dialog,noise,no dialog
inform,im looking for a british restaurant,inform
inform,the south part of town,inform
affirm,yes,affirm
request,and would you be able to tell me the phone number,request
inform,id like to find a restaurant in the west part of town that serves christmas food,inform
reqalts,how about italian food,reqalts
inform,swedish,inform
request,what is the phone number and address,request
inform,chinese restaurant,inform
thankyou,thank you good bye,thankyou
request,i need the address,request
thankyou,thank you good bye,thankyou
reqalts,how about indian food,reqalts
inform,sea food,inform
affirm,right,affirm
inform,dont care,inform
inform,uh italian,inform
negate,no id like cheap restaurant in the west part of town,negate
inform,romanian food,inform
negate,no,negate
reqalts,how about vietnamese,reqalts
reqalts,what about vietnamese food,reqalts
thankyou,thank you goodbye,thankyou
inform,korean,inform
inform,unusual food,inform
inform,im looking for a moderately priced restaurant serving creative food,inform
inform,doesnt matter,inform
inform,i would like mexican food,inform
bye,very good thank you good bye,bye
inform,a cheap restaurant,inform
inform,c h e a p cheap,inform
inform,cheap,inform
inform,ok i want to find a restaurant in the south part of town,inform
thankyou,thank you good bye,thankyou
inform,north part of town please,inform
request,what is their special dish,request
bye,goodbye,bye
inform,moderately priced,inform
request,and the address,request
inform,im looking for european food,inform
inform,im looking for a expensive restaurant and it should serve french food,inform
inform,french food,inform
inform,any,inform
request,what the phone number,request
no dialog,noise,no dialog
reqalts,how about asian oriental,reqalts
inform,asian oriental,inform
negate,no,negate
inform,restaurant with corsica food,inform
inform,gastro,no dialog
inform,gastropub food,inform
inform,ah any,inform
thankyou,thank you goodbye,thankyou
request,address and the post code,request
inform,moderate,inform
inform,chinese food,inform
inform,west part of town,inform
inform,west,inform
no dialog,left,no dialog
deny,wrong,deny
bye,okay thank you and good bye,bye
request,okay can i get the address,request
request,the price range,request
restart,reset,restart
inform,im looking for a place that serves mexican food,inform
inform,doesnt matter,inform
thankyou,thank you goodbye noise,thankyou
no dialog,sil,no dialog
inform,looking for a restaurant in the north part of town and it should serve korean food,inform
thankyou,thank you good bye,thankyou
inform,i need a restaurant in the north part of town that serves lebanese food,inform
inform,lebanse,no dialog
affirm,yes,affirm
thankyou,thank you good bye,thankyou
inform,east,inform
inform,indian,inform
inform,the north part,inform
reqalts,anything else,reqalts
thankyou,thank you good bye,thankyou
inform,restaurant in west part of town,inform
