dialog_act,utterance,predicted_dialogact
inform,cheap restaurant,inform
request,ah whats the phone number,inform
reqalts,how about portuguese food,inform
inform,any,inform
request,address please,inform
inform,is there a restaurant in the center of town serving,inform
inform,spanish,inform
thankyou,thank you good bye,inform
inform,cantonese food,inform
inform,north part of town,inform
inform,expensive,inform
reqalts,anything else,inform
request,phone number,inform
inform,spanish,inform
,and whats the other one,inform
inform,i dont care but it needs to be in the west part of town,inform
request,whats the address,inform
,sil,inform
inform,id like to find a moderately priced restaurant,inform
thankyou,thank you good bye,inform
request,what is the price range,inform
request,what is the post code,inform
request,address,inform
affirm,ye,inform
thankyou,um thank you goodbye,inform
inform,restaurant,inform
request,phone number,inform
thankyou,thank you,inform
inform,hungarian food in the center of town,inform
inform,turkish food,inform
inform,cheap,inform
inform,north,inform
affirm,yes,inform
inform,west area,inform
bye,yawning thank you and good bye,inform
thankyou,thank you good bye,inform
request,and the phone number,inform
request,what is the address and phone number,inform
inform,im looking for a moderately priced restaurant and it should serve,inform
affirm,yes,inform
negate,no indian,inform
affirm,yeah,inform
affirm,yes,inform
request,may i have the address and post code,inform
thankyou,thank you good bye,inform
inform,chinese,inform
reqalts,is there anything else,inform
inform,i dont care,inform
thankyou,thank you good bye,inform
request,phone number,inform
inform,expensive,inform
thankyou,thank you good bye,inform
request,address,inform
request,post code,inform
request,what is the phone number,inform
inform,looking for a cheap restaurant in the east part of town,inform
inform,thai food,inform
affirm,yes,inform
request,whats the postcode,inform
,id like to find,inform
inform,im looking for a moderately priced restaurant serving basque food,inform
reqalts,how about british food,inform
thankyou,thank you good bye,inform
inform,danish,inform
,sil,inform
thankyou,thank you good bye,inform
inform,id like a moderately priced restaurant in west of,inform
inform,dont care,inform
request,phone number,inform
reqalts,another,inform
inform,im looking for a restaurant in the south part of town,inform
inform,find me a restaurant serving italian food,inform
inform,the west part of town,inform
inform,i dont care,inform
reqalts,how about british type of food,inform
reqalts,how about british type of food,inform
reqalts,how about british type of food,inform
request,may i have the phone number,inform
reqalts,how about north american food,inform
request,and whats their phone number,inform
inform,venesian,inform
inform,id like a cheap restaurant in the west part of town,inform
thankyou,thank you good bye,inform
inform,any type,inform
inform,basque food,inform
inform,basque food,inform
inform,any,inform
inform,dont care,inform
reqalts,is there a restaurant serving modern european food,inform
reqalts,is there a restaurant serving modern european food,inform
thankyou,thank you good bye,inform
thankyou,thank you good bye,inform
inform,i dont care,inform
reqalts,how about italian food,inform
inform,in the center,inform
request,postcode,inform
inform,scottish food,inform
thankyou,thank you good bye,inform
inform,french noise,inform
negate,no french food,inform
thankyou,thank you goodbye,inform
inform,british food,inform
thankyou,thank you good bye,inform
inform,expensive,inform
inform,serving lebanese food,inform
request,can i have the phone number,inform
request,whats the address,inform
affirm,yes,inform
inform,south,inform
inform,south,inform
request,may i have the address phone,inform
inform,italian food,inform
,noise,inform
inform,expensive romanian food,inform
inform,expensive korean food,inform
thankyou,thank you good bye,inform
inform,i dont care,inform
negate,no,inform
affirm,yes,inform
inform,north,inform
inform,spanish,inform
affirm,yes,inform
inform,a cheap restaurant,inform
inform,korean,inform
inform,im looking for an expensive restaurant that serves australian food,inform
reqalts,how about british type of food,inform
inform,i dont care,inform
inform,persian food,inform
request,what is the address and phone number,inform
inform,i want a moderately priced cantonese restaurant,inform
inform,uh i dont care,inform
request,whats the phone number,inform
thankyou,thank you good bye,inform
request,address,inform
inform,um west side,inform
inform,i dont care,inform
inform,uh center,inform
inform,british food,inform
inform,british food,inform
inform,any range,inform
request,price range,inform
inform,south part,inform
inform,south part,inform
inform,im looking in the south of the town,inform
reqalts,next,inform
reqalts,next,inform
inform,korean,inform
inform,i dont care,inform
request,phone number,inform
inform,im looking for a restaurant that serves tuscan food,inform
request,whats their phone number,inform
inform,uh doesnt matter,inform
reqalts,anything else,inform
inform,the north part of town,inform
inform,any,inform
thankyou,thank you good bye,inform
inform,south,inform
request,what is the address and phone number,inform
reqalts,how about european type of food,inform
affirm,yes,inform
bye,good bye,inform
inform,im looking for cheap food in the north of town,inform
reqalts,is there anything else,inform
inform,spanish,inform
request,can i have the phone number,inform
inform,north,inform
inform,any part of town,inform
request,what is the address and post code,inform
inform,im looking for a moderately priced restaurant in the south,inform
request,what type of food,inform
bye,good bye,inform
thankyou,thank you goodbye,inform
request,address,inform
inform,im looking for an expensive restaurant in the east part of town,inform
request,whats the phone number,inform
inform,im looking for a restaurant that serves italian,inform
affirm,yes,inform
request,uh can i get the address,inform
request,and the phone number,inform
inform,in the south part of town,inform
request,whats the phone number,inform
,unintelligible,inform
,unintelligible,inform
thankyou,thank you good bye,inform
inform,expensive restaurant that serves lebanese food,inform
inform,im looking for a restaurant serving pan asian foo,inform
request,what is the phone number and addre,inform
inform,im looking for a cheap restaurant,inform
request,oh where is it,inform
reqalts,is there anything else,inform
reqalts,is there anything else,inform
request,address,inform
affirm,uh yes can i get the address,inform
inform,any,inform
reqalts,and what is the other restaurant,inform
reqalts,is there another restaurant that serves portuguese food,inform
inform,can i have a different restaurant that serves portuguese food,inform
thankyou,thank you good bye,inform
affirm,right,inform
request,and the post code,inform
request,address,inform
negate,no thank you good bye,inform
inform,im looking for a restaurant in the west part of town that serves corsica food,inform
,noise,inform
inform,center part of town,inform
thankyou,thank you good bye,inform
inform,a moderately priced fusion food,inform
thankyou,thank you good bye,inform
inform,moderately priced in the west part of town,inform
inform,any,inform
reqalts,what about asian oriental,inform
reqalts,how about asian oriental food,inform
request,what is the address and phone number,inform
repeat,repeat that,inform
,whats the other one,inform
inform,im looking for a moderately priced restaurant,inform
inform,i dont care,inform
inform,im looking for a restaurant in the east part of town that serves,inform
thankyou,thank you good bye,inform
thankyou,thank you good bye,inform
hello,hi im looking for a moderately priced restaurant,inform
request,address,inform
inform,i dont care,inform
request,may i have the address phone number and post code,inform
thankyou,thank you good bye,inform
affirm,uh yes can i find a cheap restaurant in the north part of town,inform
inform,international food,inform
inform,the south,inform
request,address post code,inform
confirm,is there a portugeuse food,inform
request,whats the phone number,inform
inform,south part of town,inform
request,whats the address,inform
inform,im looking for a cheap restaurant that serves brazilian,inform
inform,moderately priced,inform
inform,north,inform
negate,no,inform
inform,any,inform
inform,any,inform
inform,mediterranean food,inform
request,whats the post code,inform
inform,cheap cheap restaurant,inform
thankyou,thank you good bye,inform
inform,any,inform
request,phone number,inform
request,the address and phone number,inform
thankyou,thank you good bye,inform
inform,world food,inform
request,and the price range,inform
inform,center,inform
inform,indian,inform
request,what is the address,inform
inform,im looking for an expensive restaurant in the east part of town,inform
request,a post code,inform
inform,it doesnt matter,inform
inform,portuguese,inform
thankyou,thank you good bye,inform
request,what is the phone number and post code,inform
request,and the post code of the venue,inform
inform,i dont care,inform
inform,any area,inform
inform,mediterranean restaurant in any part of town,inform
request,can i get the phone number,inform
reqalts,how about asian oriental food,inform
thankyou,thank you good bye,inform
inform,im looking for a restaurant in the south part of town,inform
inform,any kind,inform
request,phone number,inform
negate,no caribbean,inform
inform,any part,inform
affirm,yes,inform
inform,um a cheap restaurant in the west part of town,inform
affirm,yes,inform
request,what is the address,inform
inform,west part of town,inform
inform,malaysian,inform
affirm,yes,inform
affirm,yes,inform
,noise,inform
request,the price range,inform
negate,no not noise,inform
inform,any price range noise,inform
,noise,inform
request,noise can i get the address and phone number,inform
,noise,inform
thankyou,thank you good bye,inform
inform,i dont care,inform
inform,romanian food,inform
request,whats the address,inform
reqalts,is there anything else,inform
reqalts,is there anything else,inform
reqalts,how about chinese food,inform
,unintelligible,inform
request,phone number,inform
,unintelligible,inform
request,what is the address,inform
,what is the,inform
request,what is the address,inform
request,can i have the address please,inform
request,what is the phone number,inform
inform,pan asian,inform
request,can i have the area of the restaurant,inform
inform,it doesnt matter,inform
inform,i want a gastropub restaurant,inform
request,what is the phone number,inform
reqalts,what else,inform
request,what kind of food do they serve,inform
inform,indian food,inform
inform,north part of town,inform
,noise,inform
request,whats their address,inform
request,and their phone number,inform
request,whats the address,inform
inform,moderate,inform
thankyou,thank you good bye,inform
request,what is the address and phone number,inform
request,and the address,inform
inform,expensive,inform
inform,expensive,inform
request,phone number,inform
request,could i have the address phone number and price range please,inform
inform,moderately priced swedish food,inform
reqalts,how about asian oriental,inform
thankyou,thank you good bye,inform
reqalts,is there anything else,inform
request,whats the phone number,inform
confirm,is it in the west part of town,inform
request,what is the address phone number and the price range,inform
request,what is the phone number,inform
bye,bye,inform
inform,moderate,inform
reqalts,give me another one,inform
request,and what type of food do they serve at pizza hutt,inform
bye,kay thank you good bye,inform
thankyou,thank you good bye,inform
inform,expensive restaurant in the east of town,inform
inform,expensive restaurant,inform
inform,swedish food,inform
thankyou,thank you good bye,inform
reqalts,anything else,inform
reqalts,okay and what about spanish,inform
confirm,okay is it moderately priced,inform
request,can i get the address and phone number,inform
request,what is the address,inform
inform,id like to find a moderately priced restaurant in the west of town,inform
request,what is the phone number and address,inform
,noise,inform
inform,center part of town,inform
request,phone number,inform
request,phone number,inform
request,adddress,inform
inform,i dont care,inform
reqalts,is there anything else,inform
request,whats the address,inform
negate,no thank you,inform
,noise,inform
bye,goodbye,inform
inform,cheap restaurant,inform
inform,food,inform
inform,south,inform
inform,north east,inform
inform,center,inform
inform,moderate,inform
inform,im looking for a restaurant that serves,inform
thankyou,thank you good bye,inform
reqalts,how about cantonese food,inform
request,price range,inform
reqalts,anything else,inform
request,phone number,inform
inform,doesnt matter thai food,inform
request,whats the phone number,inform
inform,i dont care,inform
request,phone number,inform
thankyou,okay thank you good bye,inform
inform,caribbean food,inform
thankyou,thank you good bye,inform
request,in the area,inform
request,phone number,inform
thankyou,thank you good bye,inform
inform,uh i want a cheap restaurant and it should be in the north part of town,inform
reqalts,what else,inform
request,phone number,inform
thankyou,thank you goodbye,inform
inform,any,inform
thankyou,thank you good bye,inform
inform,i dont care,inform
inform,im looking for a restaurant serving french food,inform
request,can i have the phone number,inform
inform,a moderately priced restaurant in the,inform
thankyou,thank you good bye,inform
inform,cheap food in the east part of town,inform
thankyou,thank you good bye,inform
inform,im looking for a moderately priced restaurant that serves bistro,inform
request,what is the address,inform
request,what is the phone number,inform
inform,that serves restaurant in south part of town,inform
inform,cheap restaurant gastropub food,inform
request,type of food,inform
inform,gastropub food,inform
request,what about the area,inform
request,what type of food do they have,inform
thankyou,thank you good bye,inform
reqalts,anything else,inform
thankyou,thank you good bye,inform
inform,creative food,inform
thankyou,thank you good bye,inform
inform,i want a cheap restaurant in the south part of town,inform
request,whats the address,inform
inform,any,inform
inform,english food,inform
,is there,inform
inform,asian oriental,inform
inform,any,inform
request,phone number,inform
inform,greek food,inform
inform,is there greek food,inform
,unintelligible,inform
request,can i get the phone number,inform
,unintelligible,inform
thankyou,thank you,inform
request,can i get the address and area of the venue,inform
request,can i have the address,inform
reqalts,anything else,inform
inform,north american,inform
inform,east,inform
request,address,inform
inform,cheap restaurant,inform
thankyou,thank you good bye,inform
inform,cheap restaurant,inform
request,address,inform
inform,any,inform
request,phone number,inform
request,post code,inform
request,address,inform
request,can i have the address,inform
,sil,inform
inform,i want spanish food,inform
confirm,is it in the center of town,inform
request,may i have its address,inform
request,what part of town is it,inform
inform,afghan,inform
request,phone number,inform
request,phone number,inform
inform,that serves takes out food,inform
request,address and post code,inform
thankyou,thank you good bye,inform
inform,indian food,inform
,adress,inform
inform,restaurant in north part of town,inform
,sil,inform
request,what part of town is it in,inform
thankyou,thank you good bye,inform
inform,dont care,inform
request,whats the address,inform
thankyou,thank you good bye,inform
,unintelligible,inform
inform,expensive,inform
inform,mediterranean food,inform
request,phone number,inform
thankyou,thank you good bye,inform
inform,for restaurant,inform
thankyou,thank you good bye,inform
reqalts,is there anything else,inform
request,phone number and type of food,inform
thankyou,thank you good bye,inform
inform,any area,inform
request,whats the price range,inform
thankyou,thank you good bye,inform
,noise,inform
inform,im looking for swedish food,inform
request,address,inform
request,price range,inform
request,price range,inform
request,what part,inform
thankyou,thank you good bye,inform
request,whats their post code,inform
request,and the phone number,inform
reqalts,anything else,inform
request,whats the address,inform
inform,i want to find a restaurant in the south part of town and it shows,inform
request,what is the phone number,inform
inform,north,inform
request,whats the address,inform
inform,cheap restaurant,inform
bye,goodbye,inform
request,phone number,inform
request,can i have the address and phone number,inform
request,what is the telephone number,inform
request,address,inform
reqalts,is there anything else,inform
confirm,is it in the center of town,inform
inform,that serves korean food,inform
thankyou,thank you good bye,inform
request,what is the address,inform
request,what is the address,inform
thankyou,thank you good bye,inform
affirm,yes can i have restaurants serving,inform
inform,any price range,inform
inform,south part of town,inform
inform,expensive,inform
request,whats the address,inform
request,whats the price range,inform
inform,cheap restaurant south part of town,inform
reqalts,anything else,inform
thankyou,thank you good bye,inform
request,may i get the phone number,inform
request,and price range,inform
thankyou,thank you good bye,inform
inform,looking for a restaurant in the north of town,inform
inform,indian food,inform
request,the address,inform
request,address,inform
,noise,inform
thankyou,thank you good bye,inform
thankyou,thank you good bye,inform
inform,okay moderate price range,inform
thankyou,thank you goodbye,inform
request,the address and phone number,inform
inform,im looking for expensive restaurants that serve mediterranean food,inform
,okay can i,inform
inform,id like a cheap restaurant in the north part of town,inform
request,what is their phone number,inform
inform,find me a portuguese restaurant,inform
reqalts,is there anything else,inform
request,what is the phone number,inform
thankyou,thank you good bye,inform
inform,im looking for a moderately priced restaurant serve hungarian food,inform
thankyou,thank you,inform
request,can i have the phone number please,inform
request,what is the post code,inform
request,the address,inform
thankyou,okay um thank you good bye,inform
,unintelligible,inform
inform,romanian food in the center,inform
inform,persian food,inform
reqalts,anything else,inform
request,the address,inform
thankyou,thank you good bye,inform
inform,hungarian,inform
inform,south,inform
inform,mexican food,inform
inform,any,inform
request,address,inform
thankyou,thank you good bye,inform
inform,for spanish food,inform
deny,dont want that,inform
request,can i have their address,inform
thankyou,thank you good bye,inform
inform,any kind in the north part of town,inform
request,breath may i have the phone number please,inform
thankyou,breath thank you goodbye,inform
thankyou,thank you good bye,inform
thankyou,thank you good bye,inform
inform,i need an expensive restaurant in the east part of town,inform
request,whats the address,inform
,knocking,inform
inform,i need to find a restaurant in the west part of town,inform
inform,west,inform
negate,no i need a restaurant in the west part of town,inform
inform,cuban food,inform
reqalts,how about british food,inform
thankyou,uh thank you good bye,inform
request,and post code,inform
inform,im looking for a moderately priced restaurant,inform
,that serves,inform
reqalts,how about modern europone,inform
thankyou,thank you good bye,inform
inform,cheap,inform
inform,west part of town,inform
request,what is the price range,inform
request,what is the address and phone number,inform
reqalts,is there anything else,inform
reqalts,is there anything else,inform
request,what is the address and phone number,inform
,unintelligible,inform
inform,doesnt matter,inform
,does do you know anyone who serves um,inform
,um,inform
inform,eritrean food,inform
inform,i dont care,inform
request,what is the phone,inform
thankyou,thank you good bye,inform
inform,i dont care,inform
request,can i get the phone number,inform
thankyou,thank you goodbye,inform
inform,i want a european restaurant in the center part of town,inform
inform,indian food,inform
request,can i get the address,inform
inform,european food,inform
request,area,inform
request,what is the area,inform
thankyou,thank you good bye,inform
inform,moderat,inform
inform,italian,inform
thankyou,thank you good bye,inform
affirm,yes,inform
inform,vietnamese food,inform
request,where is the area of the venue,inform
inform,uh moderately priced restaurants in the south part of,inform
reqalts,how about portuguese,inform
inform,i would like an expensive restaurant in the south of town,inform
request,where,inform
thankyou,thank you good bye,inform
request,whats the phone number,inform
inform,gastropub food,inform
inform,gastropub food,inform
inform,im looking for a moderately priced restaurant in the south part of town,inform
reqalts,is there anything else,inform
inform,is there a venue in the west part of town,inform
reqalts,what about a moderately priced restaurant,inform
request,what food is in the west part of town,inform
reqalts,is there anything else,inform
inform,im looking for an expensive restaurant that serves portuguese food,inform
reqalts,what about italian food,inform
inform,greek,inform
inform,restaurant north,inform
thankyou,thank you,inform
inform,any part of town,inform
request,what is their phone number,inform
inform,im looking for an expensive restaurant that serves mediteranian,inform
request,phone number,inform
affirm,yes,inform
inform,im looking for a modreately,inform
inform,a restaurant that serves german food,inform
request,how about the post code,inform
inform,unusual,inform
reqalts,how about vietnamese,inform
inform,i dont care,inform
reqalts,how about chinese food,inform
request,what is the address and phone number,inform
thankyou,thank you good bye,inform
request,what is the address,inform
inform,im looking for an expensive restaurant that serves korean food,inform
inform,im sorry i meant creative food,inform
inform,is there one that serves creative,inform
inform,i want indian food,inform
inform,north american food,inform
inform,in the east part of town,inform
request,what type of food do they serve,inform
thankyou,thank you good bye,inform
request,and the post code,inform
request,what is the phone number,inform
thankyou,thank you goodbye,inform
,unintelligible,inform
inform,european food,inform
request,phone number,inform
thankyou,thank you goodbye,inform
inform,moderate price,inform
,serving,inform
thankyou,thank you good bye,inform
inform,looking for a moderately priced restaurant,inform
request,whats its post code,inform
thankyou,thank you good bye,inform
request,may i have the phone number,inform
inform,the east part,inform
inform,the south part of town greek food,inform
,type,inform
inform,north,inform
inform,cheap restaurant in the north of town,inform
thankyou,thank you good bye,inform
request,could i get the phone number please,inform
reqalts,is there anything else,inform
request,can i get the number,inform
request,phone number,inform
inform,moderate ly,inform
inform,european food,inform
request,what is the post code,inform
inform,restaurant in the south part of town that serves indian food,inform
request,okay whats the phone number,inform
request,address,inform
thankyou,thank you good bye,inform
request,can i get the address,inform
request,a phone number please,inform
thankyou,thank you good bye,inform
inform,barbecue food,inform
inform,i want a restaurant in the we,inform
thankyou,thank you goodbye,inform
request,can i have the address,inform
inform,i want to find a moderately priced restaurant that serves vietna,inform
inform,ne vietnamese,inform
thankyou,thank you goodbye,inform
thankyou,thank you good bye,inform
inform,doesnt matter,inform
request,and the phone number,inform
request,uh can i have the phone number please,inform
request,id like the address and phone number please,inform
thankyou,thank you goodbye,inform
reqalts,is there anything else,inform
request,can you give me the phone number,inform
request,phone number,inform
request,post code,inform
inform,i dont care,inform
confirm,is it expensive,inform
inform,im looking for a restaurant in the center,inform
inform,turkish,inform
inform,french food,inform
inform,i need a moderately priced restaurant that serves caribbean food,inform
reqalts,how about british food,inform
inform,south,inform
request,can i have the phone number,inform
thankyou,thank you good bye,inform
inform,serving international food,inform
reqalts,how about the center area,inform
thankyou,thank you good bye,inform
inform,i am looking for sweedish food,inform
request,what is the address and phone number,inform
thankyou,thank you good bye,inform
thankyou,thank you good bye,inform
reqalts,is there anything else,inform
request,and what is the phone number,inform
thankyou,thank you good bye,inform
inform,dont care,inform
request,address,inform
inform,i dont know,inform
thankyou,thank you good bye,inform
inform,moderate priced restaurant that serves spanish food,inform
inform,polish food,inform
inform,i want to find a restaurant in any area,inform
request,address,inform
bye,good bye,inform
inform,catalan,inform
inform,what about asian food,inform
inform,cheap,inform
request,whats the post code,inform
inform,irish,inform
inform,moderate please,inform
request,can i have the address,inform
,okay,inform
request,phone number,inform
inform,im looking for a restaurant in the north part of town that serves,inform
reqalts,is there anything else,inform
,unintelligible,inform
inform,im looking for a restaurant in the south part of town serving,inform
request,breath what is the phone number and post code,inform
thankyou,thank you goodbye,inform
inform,west part,inform
ack,okay give me the first,inform
bye,okay good bye,inform
reqalts,anything else,inform
inform,im looking for a moderately priced restaurant with catalan food,inform
reqalts,how about a moderately priced restaurant that serves spani,inform
reqalts,is there anything else,inform
reqalts,anything else,inform
bye,cute thank you good bye,inform
inform,asian oriental food,inform
request,area,inform
inform,west part of town,inform
reqalts,do you have another option anything else,inform
inform,im looking for a moderately priced restaurant in the south of town,inform
reqalts,is there anything else,inform
thankyou,thank you good bye,inform
inform,i am looking for a restaurant in the south part of town,inform
thankyou,thank you good bye,inform
confirm,is there a jamaican restaurant,inform
,what about us,inform
thankyou,thank you good bye,inform
request,phone number,inform
request,what is the price range,inform
inform,i need a cheap restaurant,inform
reqalts,anything else,inform
reqalts,anything else,inform
thankyou,thank you good bye,inform
inform,id like to find a restaurant,inform
,appleton wisconsin,inform
reqalts,how about thai food,inform
inform,moderate,inform
request,address,inform
repeat,can you repeat that,inform
inform,any kind,inform
request,phone number,inform
inform,noise im looking for a moderately priced restaurant,inform
inform,i dont care,inform
request,address,inform
request,whats the phone number,inform
inform,find a restaurant serving cuban food,inform
request,and what about the phone number,inform
,how about,inform
request,phone number and post code,inform
thankyou,thank you good bye,inform
inform,korean food,inform
request,address price range,inform
thankyou,thank you good bye,inform
inform,chinese food please,inform
inform,cheap,inform
confirm,is it in the south part of town,inform
inform,italian,inform
request,what is the phone number,inform
thankyou,thank you good bye,inform
request,phone number and address,inform
inform,a want a cheap restaurant in the north part of town,inform
request,phone number,inform
inform,im looking for a cheap restaurant serving international food,inform
inform,european food,inform
,uh,inform
inform,south part of town,inform
request,address,inform
inform,cheap restaurant serving chinese food,inform
request,phone number and post code,inform
inform,cheap restaurant,inform
inform,north,inform
,i want to find,inform
reqalts,is there anything else,inform
reqalts,is there anything else,inform
bye,goodbye,inform
,sil,inform
request,the price range,inform
inform,i would like to find a cheap restaurant,inform
thankyou,thank you good bye,inform
affirm,yes,inform
inform,cheap restaurant,inform
inform,in the west part of town,inform
request,what is the address,inform
inform,cheap restaurant,inform
request,phone number,inform
request,and what is the post code,inform
inform,any,inform
affirm,yes,inform
inform,can i get a moderately priced restaurant in the north,inform
thankyou,uh thank you good bye,inform
,noise,inform
inform,south part of town,inform
thankyou,thank you,inform
inform,i need a cheap restaurant in the north part of town,inform
inform,a chinese,inform
affirm,yes iam looking for a cheap restaurant in the south part of town,inform
request,um whats the address and post code,inform
reqalts,is there anything else,inform
thankyou,alright thank you good,inform
reqalts,anything else,inform
request,what is the address,inform
inform,im looking for a restaurant in the north part of town that serves euro,inform
inform,it doesnt matter,inform
thankyou,thank you goodbye,inform
request,phone number,inform
request,can i get address,inform
inform,north part,inform
reqalts,how about asian oriental,inform
request,may i have the address and phone number please,inform
inform,any part,inform
inform,unusual food,inform
inform,west,inform
inform,mediterranean,inform
,survey,inform
inform,im looking for a restaurant in the center of town that serves danish food,inform
reqalts,what about european food,inform
inform,east,inform
inform,cheap,inform
,sil,inform
inform,tuscan,inform
request,whats its price range,inform
request,phone number,inform
affirm,yes,inform
request,what is the phone number,inform
negate,no,inform
inform,i want to find an expensive restaurant that serves unusual food,inform
confirm,does it serve korean food,inform
inform,anything,inform
inform,a cheap restaurant in,inform
request,what is the phone number,inform
inform,italian,inform
request,what type of food do they serve,inform
affirm,yes,inform
bye,good bye,inform
thankyou,thank you good bye,inform
inform,thai food,inform
request,phone number,inform
request,can i get the phone number,inform
inform,south,inform
,noise,inform
thankyou,thank you good bye,inform
inform,christmas food,inform
inform,dont care,inform
thankyou,thank you good bye,inform
inform,im looking for a moderately priced restaurant serving spanish food,inform
thankyou,thank you good bye,inform
inform,i dont care,inform
inform,in the east,inform
inform,the east part of town,inform
inform,um anything else,inform
thankyou,thank you good bye,inform
inform,i need a restaurant that serves canape,inform
reqalts,ah how bout a turkish type of food,inform
affirm,yes,inform
inform,north,inform
inform,it doesnt matter,inform
inform,cheap restaurant,inform
reqalts,how about italian food,inform
inform,welsh food,inform
,noise,inform
inform,im looking for a cheap restaurant in the west part of town,inform
inform,cuban,inform
inform,food,inform
inform,are there mediterranean restaurants in the center of town,inform
inform,portuguese type of food,inform
request,what is the phone number and address,inform
inform,expensive,inform
request,address,inform
inform,british food,inform
inform,i dont care,inform
request,okay whats the phone number,inform
reqalts,is there anything else,inform
,sorry,inform
inform,im looking for something moderately priced,inform
affirm,yes,inform
thankyou,thank you good bye,inform
request,and the post code,inform
,noise,inform
inform,i want a restaurant in the west part of town serving australian food,inform
request,what is the phone number,inform
inform,british food in the west part of town,inform
,noise,inform
inform,im looking for a british restaurant,inform
inform,the south part of town,inform
affirm,yes,inform
request,and would you be able to tell me the phone number,inform
inform,id like to find a restaurant in the west part of town that serves christmas food,inform
reqalts,how about italian food,inform
inform,swedish,inform
request,what is the phone number and address,inform
inform,chinese restaurant,inform
thankyou,thank you good bye,inform
request,i need the address,inform
thankyou,thank you good bye,inform
reqalts,how about indian food,inform
inform,sea food,inform
affirm,right,inform
inform,dont care,inform
inform,uh italian,inform
negate,no id like cheap restaurant in the west part of town,inform
inform,romanian food,inform
negate,no,inform
reqalts,how about vietnamese,inform
reqalts,what about vietnamese food,inform
thankyou,thank you goodbye,inform
inform,korean,inform
inform,unusual food,inform
inform,im looking for a moderately priced restaurant serving creative food,inform
inform,doesnt matter,inform
inform,i would like mexican food,inform
bye,very good thank you good bye,inform
inform,a cheap restaurant,inform
inform,c h e a p cheap,inform
inform,cheap,inform
inform,ok i want to find a restaurant in the south part of town,inform
thankyou,thank you good bye,inform
inform,north part of town please,inform
request,what is their special dish,inform
bye,goodbye,inform
inform,moderately priced,inform
request,and the address,inform
inform,im looking for european food,inform
inform,im looking for a expensive restaurant and it should serve french food,inform
inform,french food,inform
inform,any,inform
request,what the phone number,inform
,noise,inform
reqalts,how about asian oriental,inform
inform,asian oriental,inform
negate,no,inform
inform,restaurant with corsica food,inform
inform,gastro,inform
inform,gastropub food,inform
inform,ah any,inform
thankyou,thank you goodbye,inform
request,address and the post code,inform
inform,moderate,inform
inform,chinese food,inform
inform,west part of town,inform
inform,west,inform
,left,inform
deny,wrong,inform
bye,okay thank you and good bye,inform
request,okay can i get the address,inform
request,the price range,inform
restart,reset,inform
inform,im looking for a place that serves mexican food,inform
inform,doesnt matter,inform
thankyou,thank you goodbye noise,inform
,sil,inform
inform,looking for a restaurant in the north part of town and it should serve korean food,inform
thankyou,thank you good bye,inform
inform,i need a restaurant in the north part of town that serves lebanese food,inform
inform,lebanse,inform
affirm,yes,inform
thankyou,thank you good bye,inform
inform,east,inform
inform,indian,inform
inform,the north part,inform
reqalts,anything else,inform
thankyou,thank you good bye,inform
inform,restaurant in west part of town,inform
inform,vietnamese food,inform
,noise,inform
negate,no,inform
,unintelligible,inform
,unintelligible,inform
affirm,yes,inform
request,whats the phone number,inform
inform,serving christmas food,inform
,sil,inform
affirm,yes,inform
request,what are the price ranges available,inform
inform,moderate,inform
inform,any price range,inform
inform,indonesian food,inform
affirm,yes,inform
inform,indian food,inform
inform,european food,inform
inform,doesnt matter,inform
inform,dont care,inform
reqalts,is there anything else,inform
request,what is the area,inform
request,what is their phone number,inform
inform,im looking for a restaurant in the center and it should serve swedish food,inform
inform,swedish food,inform
inform,i am looking for a restaurant in the center,inform
inform,catalan food,inform
inform,a restaurant in the center,inform
inform,italian food in the center,inform
request,price range,inform
inform,asian oriental,inform
inform,im looking for a restaurant in the east part of town that serves spanish food,inform
inform,spanish food,inform
inform,chinese food,inform
request,signature dish,inform
inform,doesnt matter,inform
inform,any part,inform
thankyou,thank you good bye,inform
inform,expensive restaurant,inform
inform,the west,inform
inform,east,inform
inform,any,inform
inform,scandinavian food,inform
inform,asian,inform
negate,no,inform
affirm,yes,inform
thankyou,thank you,inform
affirm,yes can i get an expensive restaurant in the south part of town,inform
reqalts,anything else,inform
inform,the food,inform
thankyou,thank you good bye,inform
inform,im looking for cheap polynesian food,inform
affirm,correct,inform
,sil,inform
request,what is the phone number,inform
request,what is the phone number,inform
inform,eritrean food,inform
,im looking,inform
reqalts,is there anything else,inform
request,what is the address,inform
inform,international food,inform
request,what is the price range,inform
inform,east,inform
request,phone number,inform
,sil,inform
negate,no,inform
inform,north,inform
inform,i dont care,inform
request,what is the address and phone number,inform
affirm,yes,inform
inform,chinese,inform
request,address,inform
,unintelligible,inform
reqalts,how about the center of town,inform
,unintelligible,inform
,unintelligible,inform
inform,i would like to find a restaurant in any area serving international food,inform
inform,cheap,inform
inform,west,inform
request,address,inform
request,phone number,inform
thankyou,thank you good bye,inform
,sil,inform
,sil,inform
request,post code,inform
thankyou,thank you good bye,inform
inform,i want to find an expensive restaurant,inform
,unintelligible,inform
reqalts,how about canape,inform
inform,canapes,inform
inform,indian food,inform
,tape,inform
inform,im looking for a moderately priced restaurant in the east part of town,inform
request,whats the address,inform
thankyou,thank you good bye,inform
request,whats the phone number,inform
thankyou,noise thank you goodbye,inform
request,what is the address,inform
request,uh address,inform
