dialog_act,utterance
inform,halal
request,post code
inform,im looking for a cheap restaurant in the north of
reqalts,what about in the west area
thankyou,thank you good bye
request,phone number
null,okay
inform,im looking for an expensive restaurant in the east town
null,okay
bye,alright thank you good bye
reqalts,is there anything else
inform,catalan
thankyou,thank you good bye
reqalts,how about the west area
inform,im looking for an expensive restaurant that serves belgium food
inform,thai food
reqalts,um how about thai food
request,what unintelligible the price range
request,telephone number
reqalts,how about asian oriental
affirm,yes
request,and what is the address
inform,asian oriental
inform,any kind
request,price range
thankyou,thank you good bye
thankyou,thank you good bye
inform,in the north part of town
request,may i have the phone number
thankyou,thank you good bye
inform,im looking for a restaurant in the south part of town and it should serve chinese food
request,whats the address
request,phone number
bye,good bye
inform,a restaurant in the east part of town serving indian food
request,what is the address
thankyou,thank you good bye
affirm,ah yes that serves french food
request,whats the address
reqalts,how about asian oriental
request,phone number
inform,okay uh how bout turkish
request,what kind of food does it serve
inform,im looking for singaporean food
inform,international food
request,what is the address
thankyou,thank you good bye
reqalts,is there anything else
request,what type of food do they have
null,sil
request,post code
request,can i have the address please
request,could i have the address
request,phone number
inform,im looking for a restaurant in the west part of town and it should be cheap
thankyou,thank you
inform,restaurant in the west part of town serving barbecue
request,whats the address
request,phone number
request,whats the phone number
affirm,right
thankyou,thank you good bye
reqalts,is there a restaurant serving vietnamese food
inform,dont care
request,what area is it in
request,address
inform,gastropub food
request,phone number
reqalts,how about indian food
inform,expensive thai food
reqalts,how about korean
thankyou,um thank you good bye
request,type of food
thankyou,thank you good bye
inform,south part of town
thankyou,thank you goodbye
inform,thai
inform,turkish
thankyou,thank you good bye
request,where is the phone number
inform,im looking for a restaurant in the north part of town serving indonesian
thankyou,thank you good bye
inform,moderate
inform,im looking for a moderately priced restaurant that serves uh
request,and post code
request,and the phone number
request,can i have the phone number of the venue
inform,chinese food east part of town
thankyou,thank you good bye
inform,south
inform,spanish
reqalts,how about one that serves korean food
request,and address
inform,moderate
inform,italian
thankyou,thank you good bye
inform,doesnt matter
request,address
request,phone number
inform,i need a moderately priced restaurant in the north part of town
bye,good bye
reqalts,is there anything else
request,phone number
inform,french
request,what is the address
inform,south
restart,reset
thankyou,thank you good bye
reqalts,uh how about north american
null,how about
request,type of food
thankyou,thank you good bye
inform,moderately priced
inform,hungarian
request,phone number
inform,irish food
request,what is the phone number
request,phone number
inform,im looking for an expensive restaurant that serves korean food
request,what type of food
affirm,yeah
inform,i dont care
inform,steakhouse
inform,expensive
inform,i want a restaurant serving persian food
inform,restauarant south part of town vanessa food
request,phone number
inform,unintelligible food
request,can i have the address and the price range
affirm,yes
inform,i would like singaporean food
inform,the south part
reqalts,how about modern europone
inform,that serves corsica
inform,north
inform,french food
request,and what kind of food does it serve
inform,im looking for an expensive restaurant
request,address
bye,good bye
request,whats the address
affirm,yes
request,may i get the address
request,what is the address
thankyou,thank you
request,what area of town
inform,expensive
thankyou,thank you good bye
inform,im looking for a restaurant in the north part of town that serves french
thankyou,thank you good bye
thankyou,thank you good bye
inform,any type of food
reqalts,is there anything else
reqalts,what about british
thankyou,thank you good bye
inform,i want a restaurant in the east part of town that serves singaporean food
inform,any price range
affirm,yea you can give me the address
thankyou,thank you goodbye
request,what is the phone number
request,whats the phone number
request,type of food does pizza hut serve
null,noise
null,unintelligible
reqalts,anything else
reqalts,what about italian food
inform,i dont care
inform,how bout italian foo
request,address
null,noise
reqalts,what about portuguese food
inform,south
request,phone number
inform,center
inform,european food
thankyou,thank you good bye
inform,im looking for a restaurant in the south part of town that serves french food
inform,expensive
inform,it doesnt matter
inform,i dont care
request,can i have the phone number
inform,i want scottish food
inform,chinese
request,adddress
request,noise address
affirm,yes
request,what is its phone number
request,address
request,and the post code
inform,moderately
request,sounds good whats the address
thankyou,thank you goodbye
inform,im looking for a expensive restaurant in the
thankyou,thank you good bye
thankyou,thank you goodbye
bye,okay good bye
thankyou,thank you goodbye
request,what is the address and type of food
thankyou,thank you good bye
thankyou,thank you good bye
reqalts,anything else
inform,dont care
null,sil
inform,east
thankyou,thank you good bye
request,can i have the address and the post code please
null,sil
inform,irish food
affirm,yes
null,sil
inform,moderate
request,address
request,whats the address
inform,italian
inform,cheap
inform,im looking for a expensive restaurant that serves indonesian food
thankyou,thank you good bye
inform,i dont care
null,what about us
inform,in the center
null,uh continental
inform,north american
null,ring
request,whats the phone number
thankyou,thank you good bye
request,address
request,and the price range
request,what is the price range
request,and the postal code
inform,korean food
request,what is the phone number and address
reqalts,is there anything else besides golden wok
inform,im looking for a moderate priced restaurant in the east part of town
thankyou,thank you good bye
inform,expensive
affirm,yes
inform,english
inform,i dont care
request,and whats the phone number
reqalts,how about asian oriental type of foo
inform,dont care
null,unintelligible
null,how about one that serves
request,whats the address
inform,kosher food in the north
affirm,yes id like to find a cheap restaurant in the north part of town
null,unintelligible
reqalts,anything else
request,phone number
inform,north
inform,gastropub
inform,i am looking for a moderately priced restaurant in the west part o
inform,mediterranean food
null,unintelligible
request,what is the post code
thankyou,thank you goodbye
inform,any kind
request,where is it
inform,food
reqalts,another restaurant
thankyou,thank you good bye
thankyou,thank you good bye
reqalts,what about international food
null,noise
inform,north american
null,noise
inform,thai type food
request,phone number
inform,asian oriental
thankyou,thank you goodbye
request,what type of food do they serve
request,uh could you repeat the phone number
request,the phone number
request,post code
request,telephone number
inform,chinese food
inform,north
inform,cheap restaurant portuguese
inform,what about turkish
request,whats the address
hello,noise hello
reqalts,how about italian
inform,moderately priced
thankyou,thank you good bye
inform,indian food west part of town
request,can i get the address
inform,romanian food
request,okay whats the address
thankyou,thank you good bye
request,what area is it in
null,noise
inform,south of south of town
reqalts,what about chinese type of food
inform,im looking for a cheap restaurant in the east part of town
inform,west
inform,expensive in the south
inform,south part of town
inform,it doesnt matter
reqalts,how about mediterranean
request,any price
thankyou,thank you goodbye
request,address
request,can i have the address phone number and post code
thankyou,okay thank you
request,price range
inform,west part of town
reqalts,how about british food
inform,chinese food
thankyou,thank you good bye
request,whats the phone number
negate,no
request,what is their address and phone number
thankyou,thank you good bye
affirm,yeah im looking for a restaurant serving kosher food
negate,no pan asian food
inform,south
request,price range
thankyou,thank you good bye
request,what about the phone number
inform,portuguese
inform,any
inform,cheap restaurant north part of town
inform,cheap
thankyou,thank you good bye
inform,im looking for expensive welsh food
reqalts,anything else
request,okay i need the phone number and address
reqalts,anything else
reqalts,what about indian type of food
thankyou,thank you goodbye
inform,i dont care
request,area
request,phone number
request,what kind of food is it
request,address
thankyou,thank you good bye
thankyou,thank you good bye
inform,can i have irish food
inform,indonesian
inform,expensive expensive
inform,west
inform,thai food
thankyou,thank you good bye
affirm,yes
inform,asian
inform,expensive
request,address
request,phone number to that
request,address
inform,italian food
reqalts,how bout asian oriental type of food
request,ah whats the address
thankyou,thank you good bye
inform,moderately priced
inform,brazilian food
null,noise
thankyou,thank you good bye
inform,im looking for a moderately priced restaurant in the south part of town
negate,no
request,and the phone number again
request,phone number
inform,i dont care
inform,thai food
thankyou,ah thank you goodbye
request,whats the phone number
null,sil
request,what is the address
null,noise
inform,european
request,whats the cost
request,can i have the address
inform,north
request,whats the phone number
request,what is the phone number
inform,east
request,phone number
reqalts,how about indian food
request,whats its address
request,phone number
thankyou,thank you good bye
thankyou,thank you good bye
request,can i have the address please
request,could you get me the phone number
inform,im looking for an expensive restauran
reqalts,how about portuguese food
inform,moderate
thankyou,thank you good bye
null,unintelligible
thankyou,thank you good bye
inform,italian food
request,what is the phone number
inform,east
inform,im looking for a cheap restaurant
inform,south part of town
request,address
thankyou,thank you goodbye
request,whats the address
request,phone number
inform,im looking for a restaurant in the east part of town that serves canapes
inform,east
thankyou,thank you good bye
inform,moderately priced restaurant
request,and what type of food
request,phone number
inform,any
reqalts,anything else
request,alright whats the address
thankyou,thank you good bye
null,unintelligible
null,unintelligible
request,and whats the price range
inform,food
affirm,yes that sells korean food
request,may i have the phone number and address
inform,south of the town
negate,no what about thai food
thankyou,thank you good bye
reqalts,is there anything else
inform,korean food
affirm,im looking yes a restaurant in the east of town
reqalts,what about british food
inform,cheap
reqalts,is there anything else
thankyou,thank you goodbye
affirm,yea
null,unintelligible
inform,french
request,price range
inform,i dont care
thankyou,thank you good bye
thankyou,thank you goodbye
null,noise
null,noise
affirm,yes
inform,west
request,phone
request,whats the post code
request,and the phone number
affirm,yes
null,noise
affirm,yes
inform,uh moderately price
request,what is the address
thankyou,thank you good bye
inform,west
inform,im looking for something in the center of town
thankyou,okay thank you goodbye
request,address
inform,noise i would like to find a moderately priced restaurant in the south of town
inform,find moderately priced brazilian restaurant
inform,spanish food
request,what is the address and price range
thankyou,thank you good bye
inform,vietnamese
reqalts,how about modern european
thankyou,thank you good bye
inform,indian
request,address
negate,no lebanese food
request,what is the address
thankyou,thank you goodbye
inform,um cheap
inform,uh it doesnt matter
affirm,yes
reqalts,how about lebanese food
inform,west part of town
affirm,yes
null,sil
request,whats the address phone number and price range
inform,any area
affirm,yes
thankyou,thank you good bye
reqalts,what about chineese
inform,is there any that serve european food
thankyou,thank you goodbye
request,and whats the phone number
negate,no
null,okay
request,may i have the post code
thankyou,thank you good bye
null,sil
inform,i would like a cheap
null,sil
affirm,correct
thankyou,thank you good bye
request,what is the address
inform,center
reqalts,how about thai food
thankyou,thank you good bye
inform,i do not care
reqalts,how about spanish food
request,address
thankyou,thank you good bye
inform,spanish food
request,address
reqalts,how about vietnamese food
reqalts,how about one that serves asian oriental food
inform,chinese
inform,i dont care
thankyou,thank you good bye
inform,im looking for a restaurant serving lebanese food
thankyou,thank you good bye
request,address
request,phone number
request,phone number
inform,chinese food
thankyou,thank you goodbye
affirm,yes
request,can i get the address
null,after
request,post code
inform,i want a restaurant in the unintelligible that serves belgium food
request,whats the phone number again
thankyou,thank you good bye
inform,east
request,may i have the address
inform,im looking for a restaurant in the east part of town serving swiss food
inform,thai food
request,whats the address
thankyou,thank you good bye
inform,any
request,address
null,sil
request,could i have the address and phone number
request,can i get the address
request,phone number
inform,east part of town
reqalts,what about british food
request,address
inform,oriental
negate,no
null,sil
null,music
inform,find restaurant in south of town serving international f
null,and
request,the post code
inform,i dont care what part of town
bye,bye
request,what is the phone number
negate,no im sorry it should be expensive
inform,i need a restaurant in the center of town
inform,i want to find an expensive restaurant that serves swedish food
reqalts,how about portuguese food
inform,i want christmas food
inform,looking for a cheap restaurant in the north part of town
inform,dont care
request,what kind of food does it serve
affirm,correct
inform,in the west part
request,what is the phone number
inform,brazilian food
request,okay what type of food is that
thankyou,thank you
inform,south
reqalts,what about indian food
inform,moderately priced restaurant in the south part of town
inform,im looking for a cheap hungarian restaurant
inform,a cheap restaurant east part of town
request,whats the address
null,noise
thankyou,okay thank you good bye
request,can you give me its post code
thankyou,thank you good bye
inform,the north part of town
null,noise
thankyou,thank you good bye
inform,i need lebanese food
null,noise
inform,doesnt matter
inform,im looking for hungarian food i dont care about the price
inform,unintelligible restaurant in west part of town
null,any thing else
request,address
inform,i dont care
inform,i dont care about the price range
inform,are their any other restaurants that serve turkish food
request,what is the post code
thankyou,thank you good bye
inform,barbecue food
reqalts,anything else
affirm,correct
affirm,yes
request,can i have the address and post code
inform,scandinavian food
reqalts,anything else
inform,french
inform,i dont care
inform,im looking for a moderately priced restaurant in the west part of town
thankyou,okay thank you goodbye
request,what is the phone number
inform,cheap
request,whats the address
request,what is the address
thankyou,thank you good bye
request,address
thankyou,thank you
inform,japanese
request,address
request,okay can i have the rest of the address for da vinci
null,sil
inform,im looking for a restaurant in the west part of town
null,noise
null,noise
inform,im looking for a cheap restaurant that serves italian food
inform,south part of town
thankyou,thank you good bye
inform,afghan food
inform,is there one that serves creative
thankyou,thank you good bye
inform,im looking for a korean restaurant in the expensive price range
reqalts,are there any restaurant serving corsica food
thankyou,thank you good bye
inform,serving jamaican food
request,what type of food
inform,im looking for a restaurant in any area that serves persian food
thankyou,thank you good bye
null,moder
inform,thai thai
affirm,yes
inform,it doesnt matter
request,phone number address
inform,restaurant south part of town international food
reqalts,is there anything else
inform,im looking for a moderately price restaurant that serves halo food
inform,european food
request,what is the phone number
inform,im looking for an expensive restaurant in the east
affirm,yea
reqalts,what is the other portuguese restaurant
affirm,yes
ack,okay and ah
null,sil
inform,moroccan food
inform,a restaurant that serves creative food
thankyou,thank you good bye
request,what is the phone number
thankyou,thank you good bye
inform,south town
request,whats the price range
request,and the phone number
request,whats the address
request,no price
inform,dont care
inform,cheap restaurant
inform,the center of town
null,unintelligible
null,unintelligible
request,phone number
null,um
reqalts,how about asian food
inform,korean food price range
inform,expensive fish restaurant
thankyou,thank you good bye
request,phone number
inform,venue
inform,im looking for a moderately priced restaurant in the south part of town
inform,indian food
thankyou,thank you good bye
null,i want to find
inform,cheap restaurant in the south part of town
inform,food
request,address
thankyou,thank you good bye
inform,any
inform,i want to find a restaurant in the center
request,and the price range
request,what is the phone number
request,phone number
inform,south
inform,the east part
inform,cheap restaurant east part of town
bye,good bye
reqalts,how about modern european food
request,can i get the address
inform,i dont care
inform,swiss food
request,phone number
negate,no lebanese how do you say it
inform,cheap restaurant
inform,international food
inform,im looking for a restaurant in any area that serves swedish food
null,sil
request,what is the phone number
bye,good bye
inform,im looking for a cheap restaurant in the west part of town
inform,i dont care
reqalts,how about korean
negate,no
inform,european food
thankyou,thank you good bye
thankyou,thank you good bye
request,what is the address and postcode
reqalts,how about italian
reqalts,i want a different res
request,address
inform,im looking for a moderately priced restaurant in the east part of town
inform,center
inform,scandinavian food
request,okay and can i get the address
confirm,is it cheap
null,noise
thankyou,thank you good bye
thankyou,thank you good bye
affirm,yes
inform,chinese food
request,phone number
inform,expensive
reqalts,is there anything else
request,and the post code
request,type of food
thankyou,thank you good bye
reqalts,how about moderately priced thai food
inform,south
inform,north
null,sil
inform,i dont care
inform,polynesian
request,can i have the address
inform,im looking for a cheap restaurant
inform,expensive
thankyou,thank you good bye
inform,middle
inform,im looking for a restaurant in the center part of town that serves creative food
thankyou,thank you good bye
thankyou,thank you good bye
request,what is the address phone number and post code
inform,eirtrean
affirm,yes
request,can i get their phone number
thankyou,thank you goodbye
thankyou,good bye thank you
reqalts,how about thai food
null,sil
inform,oriental
inform,eritrean food
request,address
affirm,perfect
inform,moderately pri
inform,moderately priced restaurant
request,my i have the phone number
inform,unintelligible food
inform,im looking for vietnamese food in the north part of town
null,noise
inform,west
hello,hi im looking for
thankyou,thank you good bye
request,what is the price range
inform,restaurant
inform,a restaurant in the south part of town serving italian food
request,phone number
inform,that serves traditional food
affirm,yea
inform,i am looking for a restaurant serving afghan food
reqalts,how about indian food
inform,moderate
inform,in the south part of town
request,may i have the address
reqalts,what about indian food in the cheap price range
affirm,yes please can i have the address and the price range of the restaurant please
request,phone number
inform,restaurant with african food
inform,any
negate,no
request,type of food
inform,im looking for a restaurant in the north part
request,what type of food
reqalts,okay what about north american food
affirm,yes
inform,restaurant in west part of town
reqalts,how about asian food
affirm,yes
inform,im looking for a restaurant in the north part of town that serves caribbean food
inform,im looking for a turkish food restaurant
inform,indonesian
request,what type of food is it
request,may i have the phone number and post code please
inform,moderate
request,and whats the phone number
inform,chinese food
request,what is the address
request,phone number
inform,american
thankyou,thank you good bye
request,whats the post code
affirm,yes
inform,id like to find an expensive restaurant in the east side of town
thankyou,thank you good bye
inform,east
thankyou,um okay thank you good bye
affirm,yes
request,area
thankyou,thank you good bye
thankyou,thank you good bye
reqalts,what about chinese food
request,what area of town is it
inform,modern european food
affirm,yes
request,whats the address
negate,no
reqalts,how about a castro pub type of food
inform,moderately priced any foo
thankyou,thank you good bye
reqalts,how about italian food
thankyou,thank you good bye
thankyou,thank you good bye
inform,noise food
inform,any
affirm,yes
null,unintelligible
reqalts,how about north american type of food
inform,fast food
request,do you have the address of the lucky star
inform,cheap
inform,canapes
null,are there any
inform,cheap restaurant in the north part of town
request,where
inform,i need a restaurant that serves african food
request,what is the address
affirm,ye
inform,north
request,what is its address
inform,cheap
inform,cheap
inform,cheap restaurant north part of town
inform,i dont care
request,can you repeat the phone number and address please
null,unintelligible
bye,good bye
reqalts,ok is there any restaurant that serves chinese food in the east part of town
thankyou,thank you good bye
request,telephone number
request,what is the address and phone number
inform,anything
inform,tv_noise im looking for a restaurant in the moderately pri
bye,good bye
deny,wrong
thankyou,thank you good bye
thankyou,thank you good bye
null,what
request,address
request,can i have the address
request,where is the area
request,address
inform,german food
inform,any
request,phone number
affirm,yes
inform,um asian oriental restaurant
request,post code
request,address
request,type of food do they serve
affirm,right
request,address
inform,any area
thankyou,thank you good bye
request,phone number
inform,any type of food
hello,hello im looking for a moderately priced restaurant in thr
request,what is the area
inform,mediterranean food
request,could you give the address phone number and post code
affirm,yes
request,address
inform,i am looking for an expensive restaurant serving kitalian food
null,town
inform,im looking for a moderately priced restaurant in the east part of
inform,a cheap
reqalts,what about north american food
inform,cheap price range
inform,center
inform,what about irish food
inform,i dont care
reqalts,is there anything else
inform,unusal
inform,is there one that serves indian food
request,phone number
inform,singaporean food
reqalts,is there a restaurant serving modern european food
inform,any
inform,irish
request,what type of venue
request,whats the address
request,what is the address
reqalts,is there another one
inform,im looking for a moderately priced restaurant in the west part of town
request,can i have the phone number and the price range
inform,any
thankyou,thank you good bye
inform,south part of town
confirm,is it in the center of town
inform,expensive romanian food
request,and the post code
thankyou,thank you good bye
inform,any part
inform,south
inform,im looking for a restaurant in the north part of town and it should african food
inform,gastropub
affirm,right east part of town
inform,looking for a restaurant in the south part of town that serves persian
inform,i want swedish ffood
inform,uh doesnt matter
inform,im looking for an expensive restaurant in south part of town
request,telephone number
thankyou,thank you good bye
inform,any part of town
inform,i dont care
request,phone number
thankyou,thank you good bye
negate,no north part of town
thankyou,thank you good bye
inform,im looking for a restaurant in the south part of town
thankyou,thank you good bye
request,where is it located
inform,doesnt matter
null,sil
request,how about the phone number
inform,portugeuse food
negate,no
thankyou,thank you good bye
thankyou,noise thank you goodbye
request,and the phone number
reqalts,next
request,phone number
reqalts,how about chinese food
inform,i dont care
request,and their address
request,phone number
reqalts,anything else
inform,i dont care
request,what is the address
inform,im looking for mediterranean food
request,uh okay how about the address
inform,im looking for an expensive restaurant and it should be served international food
thankyou,thank you good bye
inform,i dont care
request,post code
inform,portuguese food
inform,expensive
thankyou,thank you good bye
inform,international food
inform,north
request,address
thankyou,thank you goodbye
reqalts,is there a restaurant that serves indian food
request,address
thankyou,thank you good bye
thankyou,thank you
null,noise
thankyou,thank you
inform,doesnt matter
request,address
null,noise
request,phone number
request,the phone number
request,what type of food does it serve
request,wha what type of food
request,may i have the phone number
inform,food
request,whats the phone number
thankyou,thank you good bye
thankyou,thank you good bye
bye,good bye
inform,i dont care
null,sil
request,phone number
reqalts,what about chinese food
null,noise
inform,expensive restaurant
inform,im looking for an expensive restaurant that serves greek food
reqalts,anything else
thankyou,thank you good bye
request,whats the address
inform,thai food
request,what is the address and phone number
inform,i dont care
request,what is the address
inform,french food
affirm,yes
inform,spanish
inform,i dont care
thankyou,thank you good bye
inform,i need a moderately priced restaurant in the west part of town
inform,expensive
request,address
request,address
request,phone number
thankyou,thank you good bye
request,can i have the phone number please
request,whats the address
deny,wrong
negate,no
request,may i get the address and restaurant and
reqalts,anything else
inform,i dont care moderate price
thankyou,okay thank you and goodbye
reqalts,is there anything else
request,what is the type of food
inform,south
request,what is the addre
request,what type of food
thankyou,thank you good bye
inform,south expensive
reqalts,how about singaporean food
request,what is the address
reqalts,how about russian food
request,may i have the phone number
confirm,is it in the center
inform,european
affirm,correct
reqalts,how about asian oriental type of food
request,type of food
reqalts,how bout the center part of town
reqalts,okay how about italian food
restart,start over
negate,no
hello,hi im looking for mexican food
request,whats the phone number
reqalts,is there anything else
request,and what area
inform,east
inform,uh im looking for a moderately priced restaurant serving
request,and i need the address and post code
inform,european
inform,french
inform,south
affirm,right
reqalts,what about portugese
request,cool whats the address
inform,european food
affirm,yes
request,area of the venue
request,the price range
request,what is the phone number and post code
inform,west
inform,thai food
inform,food
request,may i have the post code
inform,east part of town
inform,doesnt matter
null,music
request,could i have the phone number
request,and the phone number
bye,good bye
reqalts,is there anything else
request,what is the phone number
inform,thai food
request,could i have the address and post code
inform,doesnt matter
inform,world food
inform,polynesian
request,may i have their address please
request,what is the phone number
inform,there korean food
negate,no
bye,thanks good bye
request,phone number
reqalts,how about portugeuse
request,can i have the address and phone number
request,may i have it its address
inform,im looking for um
inform,i dont care
inform,im looking for an expensive restaurant that serves european
inform,thai food
inform,east
request,how about the phone number
inform,im looking for a cheap restaurant in the north part of town
inform,any food
inform,any
affirm,yes
request,whats the price range
thankyou,noise thank you goodbye
inform,im looking for a cheap restaurant in the north part of town
negate,no
inform,i dont care can i try again
inform,asian oriental type of food
affirm,yes
request,whats the signature dish
request,address
request,address
null,sil
request,area
inform,im looking for a restaurant in the south part of town
request,phone number
inform,cheap
request,what is the address
thankyou,thank you good bye
request,what type of food
inform,i dont care
inform,a cheap restaurant serving caribbean food
thankyou,thank you good bye
reqalts,what about chinese type food
inform,the center of town
thankyou,thank you good bye
inform,is their korean food
inform,cheap restaurant
inform,any
inform,center
affirm,yea in the east part of town
request,what kind of food is it
affirm,yes
inform,im looking for a cheap restaurant in the south part of town
affirm,yes
inform,dont care moderate
request,phone number
bye,good bye
inform,i dont care
thankyou,thank you good bye
request,whats the phone number and post code
inform,restaurant in south part of town serves
bye,good bye
request,what is the address
request,what is the price range
inform,restaurant in the east side of town
inform,south
inform,uh doesnt matter
inform,german food
reqalts,is there anything else
thankyou,thank you good bye
inform,indian food
affirm,yes
inform,korean
request,what is the address
inform,whats a cheap restaurant in the west
ack,well take that one
negate,no thank you good bye
inform,i am looking for a cheap restaurant that serves germ
request,phone number
reqalts,is there anything else
thankyou,thank you good bye
request,address and post code
request,thats fine give me the address
request,okay could i have the phone number and post code
request,uh whats the address
request,and whats the post code
request,address please
null,noise
restart,start over
inform,i dont care
inform,cuban
inform,i would like an expensive asian food restaurant
thankyou,thank you good bye
request,may i have the address and postcode
request,phone number
request,food of the venue
inform,east part of town
request,can i have their address please
request,what kind of food is it
request,whats the address
inform,moderate
inform,uh cheap restaurant
request,price range
inform,any
inform,im looking for french food
inform,im looking for an expensive restaurant that serves mediteranian
inform,any price range
reqalts,how about indian food
reqalts,what about vietnamese food
inform,asian oriental
inform,irish
inform,north
inform,indian food
thankyou,thank you good bye
affirm,yes
inform,corsica
inform,afghan
thankyou,thank you goodbye
thankyou,thank you good bye
null,sil
reqalts,what about a modern europene type of food
null,system saying hello welcome
inform,i want thai food
request,whats their address
inform,chinese
request,what is the phone number
null,sil
inform,i want lebanese food
inform,im looking for a restaurant in the north part of town that serves thai food
inform,thai food
inform,any area is fine with me
inform,brazilian
reqalts,is there anything else
request,whats the address
inform,east part of town
inform,eritrean
reqalts,how about british food
thankyou,thank you goodbye
reqalts,kay how about indian food
inform,korean
inform,south
affirm,yes
null,noise
inform,any
inform,i need a restaurant in the north
request,whats their post code
inform,do you have a place that serves turkish food
request,phone number
request,the address
request,what is the price range
reqalts,anything else
request,may i have the address and post code
affirm,right
inform,im looking for a cheap restaurant in the south part of town
thankyou,thank you good bye
thankyou,thank you good bye
bye,okay good bye
request,phone number
request,id like to know the address phone number and post code
thankyou,thank you good bye
inform,i dont care
request,can i get the address and phone number
inform,in the east part of town
request,phone number
inform,moderately priced
inform,it serves turkish food
inform,i wanted moderately priced
inform,i need a cheap restaurant
request,may i have the address
request,phone number
request,can i have the address
inform,any
inform,im looking for a cheap restaurant in the north part of town
request,phone number
inform,moderately priced
request,what type of food
null,sil
affirm,yes
inform,im looking for a moderately priced restaurant in the north part of town
inform,cheap restaurant
request,price range
request,what is the phone number
request,address and food
request,may i know more about the area
inform,dont care
thankyou,thank you good bye
request,address and phone number
inform,im looking for an african restaurant
null,town
inform,the food
null,noise
inform,i dont care
reqalts,how about european food
inform,north american food
thankyou,thank you good bye
request,can i get a post code
inform,food
affirm,yes
request,whats the phone number
request,the address
ack,okay give me the first
inform,italian
thankyou,thank you good bye
request,whats the phone number
null,noise
negate,no spanish food
request,could i have the phone number and type of venue
thankyou,thank you good bye
request,what is the price range
affirm,yes
inform,im looking for a welsh restaurant in the west part of town
inform,an expensive restaurant with seafood
inform,doesnt matter
null,unintelligible
request,can i get the address
request,can i get the phone number
request,type of food
reqalts,what about thai food
null,unintelligible
request,what part of town
request,and would you be able to tell me the phone number
inform,traditional food
affirm,yes
reqalts,what else
request,phone number
reqalts,how about vietnamese food
request,okay and can i get the address
request,what area is it in
null,unintelligible
reqalts,what about gastropub
inform,id like it to be in the south part of town
request,a post code
bye,you goodbye
request,area
request,what is the address
inform,asian oriental
affirm,yes
request,address
request,may i have the phone number
request,phone number
inform,and its in the west part of town
reqalts,anything else
inform,serves british food
inform,noise i want to find a restaurant that ser
affirm,yes
reqalts,how about asian food
inform,polish food
inform,i dont care
thankyou,thank you good bye
request,what kind of food
deny,no not indian scandinavian food
inform,i am looking for an expensive restaurant in the south part of town
inform,air tran
inform,moderate
thankyou,thank you good bye
request,what area
request,can i get the address
inform,want something in the south side of town thats moderately priced
inform,east part
request,can i have the address
request,can i get the address
inform,italian food
request,phone number and address
inform,moderately priced restaurant
reqalts,how about english food in the north part of town
inform,im looking for an expensive restaurant in the east part
request,okay phone number
request,what is the address and phone number
request,phone number
inform,american
request,phone number
inform,south part of town
request,can i get the phone number
request,whats the address
request,and the phone number
inform,i dont care
inform,any
request,price range
inform,asian oriental food
inform,dont care
confirm,do they serve korean food
request,phone number
inform,i want an expensive restaurant
inform,any
request,and whats the price range
affirm,yes
request,post code
inform,im looking for a restaurant that serves bistro food
request,can i have the address and phone number please
inform,it doesnt matter
reqmore,more
inform,west
request,and whats the telephone number
bye,bye
inform,it doesnt matter
thankyou,thank you good bye
inform,any area
inform,korean food
request,may i have the address
inform,north
inform,cheap
thankyou,thank you goodbye
reqalts,is there anything else
inform,south of the town
request,what type of food do they serve
inform,i dont care about the price range
request,postal code
request,whats the address
inform,hungarian food
inform,i dont care
inform,restaurant
thankyou,thank you good bye
inform,portuguese food
request,whats their address
inform,im looking for a cheap restaurant in the north part of town
inform,expensive
request,address
affirm,yea
inform,west
thankyou,thank you goodbye
inform,chinese
inform,i dont care
request,what is the price range of this venue
inform,the west part of town id like a cheap restaurant
thankyou,thank you good bye
request,okay whats the phone number
negate,no im looking for thai food
null,noise
request,phone number and price range
thankyou,thank you
request,whats the address
affirm,yes
inform,hindi food is okay
inform,north
inform,australian
inform,im looking for a moderately priced restaurant
reqalts,okay fine what about asian food
affirm,yes
null,noise
inform,im looking for an expensive restaurant serving turkish food
inform,im looking for
request,what is the phone number
confirm,does it serve thai food
affirm,yes
reqalts,how about modern european food
null,noise
inform,doesnt matter
request,what is the price range
request,address
inform,portuguese food
null,uh
affirm,yes
request,whats the address
null,breathing
thankyou,thank you good bye
request,what is the address
inform,im looking for a cheap restaurant that serves vietnamese food
null,sil
inform,i am looking for a restaurant in the north part of town serving indian food
inform,im looking for an expensive restaurant serving vegetarian food
thankyou,thank you good bye
thankyou,thank you good bye
inform,can i have it in any price range
inform,im looking for a cheap restaurant in the north part of town
thankyou,thank you good bye
request,okay and what area is that
inform,it doesnt matter
inform,vietnamese food
request,what type of food do they serve
request,what area
inform,expensive
negate,no id like cheap restaurant in the west part of town
inform,food
affirm,yes
thankyou,thank you good bye
negate,no
inform,can i have a cheap restaurant in the west part of town
request,what is the address
affirm,yes
request,can i have an address and phone number
inform,it doesnt matter
inform,price over food west part of town
inform,restaurant in the south part of town
inform,west
request,tasty then whats the phone number
inform,im looking for
request,price
request,uh whats the phone number
request,phone number
inform,i dont care
null,sil
reqmore,more
affirm,yes
request,can i have their address and phone number please
inform,any
inform,center
inform,it doesnt matter
request,okay whats the address
request,address
request,what is the address and post code
request,may i have the phone number
inform,english food
reqalts,what about chinese food
